,county,state,pop_dens,total_pop
0,baltimore,maryland,6866,621342
1,essex,new jersey,6168,755618
2,cook,illinois,5301,5231351
3,union,new jersey,5150,543976
4,norfolk,virginia,5026,245782
5,nassau,new york,4954,74629
6,harrisonburg,virginia,4765,50981
7,fairfax,virginia,2454,1118602
8,camden,new jersey,2289,513539
9,harris,texas,2700,4253700
10,franklin,ohio,2186,1195537
11,marion,indiana,2466,918977
12,dekalb,georgia,2482,707089
13,duval,florida,1305,879602
14,wake,north carolina,1377,952151
15,bexar,texas,1620,1785704
