FIPS code,State Abr.,County name,County 2012 pop,2013 code,2006 code,1990-based code
1001,AL,Autauga County,55514,3,3,3
1003,AL,Baldwin County,190790,4,5,3
1005,AL,Barbour County,27201,6,5,5
1007,AL,Bibb County,22597,2,2,6
1009,AL,Blount County,57826,2,2,3
1011,AL,Bullock County,10474,6,6,6
1013,AL,Butler County,20307,6,6,6
1015,AL,Calhoun County,117296,4,4,4
1017,AL,Chambers County,34064,5,5,6
1019,AL,Cherokee County,26021,6,6,6
1021,AL,Chilton County,43819,2,2,6
1023,AL,Choctaw County,13633,6,6,6
1025,AL,Clarke County,25161,6,6,6
1027,AL,Clay County,13435,6,6,6
1029,AL,Cleburne County,14832,6,6,6
1031,AL,Coffee County,51252,5,5,5
1033,AL,Colbert County,54446,4,4,4
1035,AL,Conecuh County,12981,6,6,6
1037,AL,Coosa County,10966,5,5,6
1039,AL,Covington County,37955,6,6,6
1041,AL,Crenshaw County,14083,6,6,6
1043,AL,Cullman County,80440,5,5,5
1045,AL,Dale County,50444,5,5,4
1047,AL,Dallas County,42864,5,5,5
1049,AL,DeKalb County,71080,6,5,5
1051,AL,Elmore County,80629,3,3,3
1053,AL,Escambia County,37994,6,6,6
1055,AL,Etowah County,104392,4,4,4
1057,AL,Fayette County,16983,6,6,6
1059,AL,Franklin County,31761,6,6,6
1061,AL,Geneva County,26931,4,4,6
1063,AL,Greene County,8876,6,4,6
1065,AL,Hale County,15388,4,4,6
1067,AL,Henry County,17287,4,4,6
1069,AL,Houston County,103402,4,4,4
1071,AL,Jackson County,53019,5,5,5
1073,AL,Jefferson County,660009,1,1,3
1075,AL,Lamar County,14259,6,6,6
1077,AL,Lauderdale County,92542,4,4,4
1079,AL,Lawrence County,33838,4,4,4
1081,AL,Lee County,147257,4,4,5
1083,AL,Limestone County,87654,3,3,3
1085,AL,Lowndes County,10857,3,3,6
1087,AL,Macon County,20535,6,5,5
1089,AL,Madison County,343080,3,3,3
1091,AL,Marengo County,20401,6,6,6
1093,AL,Marion County,30327,6,6,6
1095,AL,Marshall County,94776,5,5,5
1097,AL,Mobile County,413936,3,3,3
1099,AL,Monroe County,22602,6,6,6
1101,AL,Montgomery County,230149,3,3,3
1103,AL,Morgan County,120395,4,4,4
1105,AL,Perry County,10181,6,6,6
1107,AL,Pickens County,19405,4,6,6
1109,AL,Pike County,33182,5,5,5
1111,AL,Randolph County,22675,6,6,6
1113,AL,Russell County,57820,3,3,3
1115,AL,St. Clair County,85237,2,2,3
1117,AL,Shelby County,200941,2,2,3
1119,AL,Sumter County,13427,6,6,6
1121,AL,Talladega County,81762,5,5,5
1123,AL,Tallapoosa County,41168,6,5,5
1125,AL,Tuscaloosa County,198596,4,4,4
1127,AL,Walker County,66221,2,2,5
1129,AL,Washington County,17109,6,6,6
1131,AL,Wilcox County,11431,6,6,6
1133,AL,Winston County,24108,6,6,6
2013,AK,Aleutians East Borough,3161,6,6,6
2016,AK,Aleutians West Census Area,5547,6,6,6
2020,AK,Anchorage Municipality,298610,3,3,4
2050,AK,Bethel Census Area,17746,6,6,6
2060,AK,Bristol Bay Borough,991,6,6,6
2068,AK,Denali Borough,1875,6,6,6
2070,AK,Dillingham Census Area,5034,6,6,6
2090,AK,Fairbanks North Star Borough,100272,4,4,5
2100,AK,Haines Borough,2552,6,6,6
2105,AK,Hoonah-Angoon Census Area,2129,6,6,.
2110,AK,Juneau City and Borough,32556,5,5,5
2122,AK,Kenai Peninsula Borough,56900,6,6,6
2130,AK,Ketchikan Gateway Borough,13779,5,5,6
2150,AK,Kodiak Island Borough,14239,6,5,6
2158,AK,Kusilvak Census Area,7809,6,6,6
2164,AK,Lake and Peninsula Borough,1654,6,6,6
2170,AK,Matanuska-Susitna Borough,93925,3,3,6
2180,AK,Nome Census Area,9915,6,6,6
2185,AK,North Slope Borough,9643,6,6,6
2188,AK,Northwest Arctic Borough,7810,6,6,6
2195,AK,Petersburg Census Area,3844,6,6,.
2198,AK,Prince of Wales-Hyder Census Area,5751,6,6,.
2201,AK,Prince of Wales-Outer Ket,.,6,6,6
2220,AK,Sitka City and Borough,9046,6,6,6
2230,AK,Skagway Municipality,959,6,6,.
2232,AK,Skagway-Hoonah-Angoon Census Area,.,6,6,6
2240,AK,Southeast Fairbanks Census Area,7144,6,6,6
2261,AK,Valdez-Cordova Census Area,9717,6,6,6
2270,AK,Wade Hampton Census Area,7809,6,6,6
2275,AK,Wrangell City and Borough,2403,6,6,.
2280,AK,Wrangell-Petersburg Census Area,.,6,6,6
2282,AK,Yakutat City and Borough,668,6,6,6
2290,AK,Yukon-Koyukuk Census Area,5770,6,6,6
4001,AZ,Apache County,73195,6,6,6
4003,AZ,Cochise County,132088,4,5,5
4005,AZ,Coconino County,136011,4,4,5
4007,AZ,Gila County,53144,5,5,6
4009,AZ,Graham County,37416,5,5,6
4011,AZ,Greenlee County,8802,6,5,6
4012,AZ,La Paz County,20281,6,6,6
4013,AZ,Maricopa County,3942169,1,1,1
4015,AZ,Mohave County,203334,4,5,3
4017,AZ,Navajo County,107094,5,6,6
4019,AZ,Pima County,992394,3,3,3
4021,AZ,Pinal County,387365,2,2,2
4023,AZ,Santa Cruz County,47303,5,5,5
4025,AZ,Yavapai County,212637,4,4,5
4027,AZ,Yuma County,200022,4,4,4
5001,AR,Arkansas County,18892,6,6,5
5003,AR,Ashley County,21524,6,6,6
5005,AR,Baxter County,41048,5,5,6
5007,AR,Benton County,232268,3,3,4
5009,AR,Boone County,37327,5,5,6
5011,AR,Bradley County,11397,6,6,6
5013,AR,Calhoun County,5307,5,5,6
5015,AR,Carroll County,27610,6,6,6
5017,AR,Chicot County,11433,6,6,6
5019,AR,Clark County,22936,5,5,5
5021,AR,Clay County,15684,6,6,6
5023,AR,Cleburne County,25808,6,6,6
5025,AR,Cleveland County,8627,4,4,6
5027,AR,Columbia County,24473,5,5,5
5029,AR,Conway County,21287,6,6,6
5031,AR,Craighead County,99735,4,4,5
5033,AR,Crawford County,61946,3,3,4
5035,AR,Crittenden County,50021,2,2,2
5037,AR,Cross County,17683,6,6,6
5039,AR,Dallas County,7987,6,6,6
5041,AR,Desha County,12545,6,6,6
5043,AR,Drew County,18743,6,6,6
5045,AR,Faulkner County,118704,3,3,3
5047,AR,Franklin County,18045,6,3,6
5049,AR,Fulton County,12318,6,6,6
5051,AR,Garland County,96903,4,4,5
5053,AR,Grant County,17986,3,3,6
5055,AR,Greene County,43163,5,5,5
5057,AR,Hempstead County,22373,6,5,6
5059,AR,Hot Spring County,33394,5,6,6
5061,AR,Howard County,13735,6,6,6
5063,AR,Independence County,37025,5,5,6
5065,AR,Izard County,13474,6,6,6
5067,AR,Jackson County,17600,6,6,6
5069,AR,Jefferson County,74723,4,4,4
5071,AR,Johnson County,25901,6,6,6
5073,AR,Lafayette County,7447,6,6,6
5075,AR,Lawrence County,17012,6,6,6
5077,AR,Lee County,10216,6,6,6
5079,AR,Lincoln County,14101,4,4,6
5081,AR,Little River County,12919,4,6,6
5083,AR,Logan County,21983,6,6,6
5085,AR,Lonoke County,69839,3,3,3
5087,AR,Madison County,15645,3,3,6
5089,AR,Marion County,16568,6,6,6
5091,AR,Miller County,43634,4,4,4
5093,AR,Mississippi County,45562,5,5,5
5095,AR,Monroe County,7828,6,6,6
5097,AR,Montgomery County,9340,6,6,6
5099,AR,Nevada County,8925,6,5,6
5101,AR,Newton County,8086,5,5,6
5103,AR,Ouachita County,25396,5,5,5
5105,AR,Perry County,10339,3,3,6
5107,AR,Phillips County,20784,5,5,6
5109,AR,Pike County,11247,6,6,6
5111,AR,Poinsett County,24307,4,4,6
5113,AR,Polk County,20471,6,6,6
5115,AR,Pope County,62765,5,5,5
5117,AR,Prairie County,8458,6,6,6
5119,AR,Pulaski County,388953,3,3,3
5121,AR,Randolph County,17930,6,6,6
5123,AR,St. Francis County,27858,5,5,5
5125,AR,Saline County,111845,3,3,3
5127,AR,Scott County,11010,6,6,6
5129,AR,Searcy County,8007,6,6,6
5131,AR,Sebastian County,127304,3,3,4
5133,AR,Sevier County,17177,6,6,6
5135,AR,Sharp County,17054,6,6,6
5137,AR,Stone County,12663,6,6,6
5139,AR,Union County,40867,5,5,5
5141,AR,Van Buren County,17030,6,6,6
5143,AR,Washington County,211411,3,3,4
5145,AR,White County,78493,5,5,5
5147,AR,Woodruff County,7100,6,6,6
5149,AR,Yell County,21932,5,5,6
6001,CA,Alameda County,1554720,1,1,1
6003,CA,Alpine County,1129,6,6,6
6005,CA,Amador County,37035,6,6,6
6007,CA,Butte County,221539,4,4,4
6009,CA,Calaveras County,44742,6,6,6
6011,CA,Colusa County,21411,6,6,6
6013,CA,Contra Costa County,1079597,2,2,2
6015,CA,Del Norte County,28290,5,5,6
6017,CA,El Dorado County,180561,2,2,2
6019,CA,Fresno County,947895,3,3,3
6021,CA,Glenn County,27992,6,6,6
6023,CA,Humboldt County,134827,5,5,5
6025,CA,Imperial County,176948,4,4,5
6027,CA,Inyo County,18495,6,5,6
6029,CA,Kern County,856158,3,3,3
6031,CA,Kings County,151364,4,4,5
6033,CA,Lake County,63983,5,5,5
6035,CA,Lassen County,33658,5,5,6
6037,CA,Los Angeles County,9962789,1,1,1
6039,CA,Madera County,152218,4,4,3
6041,CA,Marin County,256069,2,2,2
6043,CA,Mariposa County,17905,6,6,6
6045,CA,Mendocino County,87428,5,5,5
6047,CA,Merced County,262305,3,4,4
6049,CA,Modoc County,9327,6,6,6
6051,CA,Mono County,14348,6,6,6
6053,CA,Monterey County,426762,3,3,3
6055,CA,Napa County,139045,4,4,2
6057,CA,Nevada County,98292,5,5,6
6059,CA,Orange County,3090132,1,1,1
6061,CA,Placer County,361682,2,2,2
6063,CA,Plumas County,19399,6,6,6
6065,CA,Riverside County,2268783,1,1,1
6067,CA,Sacramento County,1450121,1,1,1
6069,CA,San Benito County,56884,2,2,5
6071,CA,San Bernardino County,2081313,2,2,1
6073,CA,San Diego County,3177063,1,1,1
6075,CA,San Francisco County,825863,1,1,1
6077,CA,San Joaquin County,702612,3,3,3
6079,CA,San Luis Obispo County,274804,3,3,4
6081,CA,San Mateo County,739311,2,2,2
6083,CA,Santa Barbara County,431249,3,3,3
6085,CA,Santa Clara County,1837504,1,1,1
6087,CA,Santa Cruz County,266776,3,3,2
6089,CA,Shasta County,178586,4,4,4
6091,CA,Sierra County,3086,6,6,6
6093,CA,Siskiyou County,44154,6,6,6
6095,CA,Solano County,420757,3,3,2
6097,CA,Sonoma County,491829,3,3,3
6099,CA,Stanislaus County,521726,3,3,3
6101,CA,Sutter County,95022,4,4,4
6103,CA,Tehama County,63406,5,5,5
6105,CA,Trinity County,13526,6,6,6
6107,CA,Tulare County,451977,3,3,3
6109,CA,Tuolumne County,54008,5,5,6
6111,CA,Ventura County,835981,3,3,2
6113,CA,Yolo County,204118,2,2,2
6115,CA,Yuba County,72926,4,4,4
8001,CO,Adams County,459598,2,2,2
8003,CO,Alamosa County,16148,6,6,6
8005,CO,Arapahoe County,595546,2,2,2
8007,CO,Archuleta County,12070,6,6,6
8009,CO,Baca County,3751,6,6,6
8011,CO,Bent County,5773,6,6,6
8013,CO,Boulder County,305318,3,3,2
8014,CO,Broomfield County,58298,2,2,.
8015,CO,Chaffee County,18150,6,6,6
8017,CO,Cheyenne County,1874,6,6,6
8019,CO,Clear Creek County,9026,2,2,6
8021,CO,Conejos County,8275,6,6,6
8023,CO,Costilla County,3594,6,6,6
8025,CO,Crowley County,5365,6,6,6
8027,CO,Custer County,4249,6,6,6
8029,CO,Delta County,30432,6,6,6
8031,CO,Denver County,634265,1,1,1
8033,CO,Dolores County,1994,6,6,6
8035,CO,Douglas County,298215,2,2,2
8037,CO,Eagle County,51874,5,5,6
8039,CO,Elbert County,23383,2,2,6
8041,CO,El Paso County,644964,3,3,3
8043,CO,Fremont County,46788,5,5,5
8045,CO,Garfield County,56953,5,6,6
8047,CO,Gilpin County,5491,2,2,6
8049,CO,Grand County,14195,6,6,6
8051,CO,Gunnison County,15475,6,6,6
8053,CO,Hinsdale County,810,6,6,6
8055,CO,Huerfano County,6596,6,6,6
8057,CO,Jackson County,1348,6,6,6
8059,CO,Jefferson County,545358,2,2,2
8061,CO,Kiowa County,1444,6,6,6
8063,CO,Kit Carson County,8094,6,6,6
8065,CO,Lake County,7338,6,5,6
8067,CO,La Plata County,52401,5,5,5
8069,CO,Larimer County,310487,3,3,4
8071,CO,Las Animas County,14945,6,6,6
8073,CO,Lincoln County,5453,6,6,6
8075,CO,Logan County,22631,5,5,5
8077,CO,Mesa County,147848,4,4,5
8079,CO,Mineral County,709,6,6,6
8081,CO,Moffat County,13200,5,6,6
8083,CO,Montezuma County,25431,6,6,6
8085,CO,Montrose County,40725,5,5,6
8087,CO,Morgan County,28472,5,5,6
8089,CO,Otero County,18698,6,6,6
8091,CO,Ouray County,4530,6,6,6
8093,CO,Park County,16029,2,2,6
8095,CO,Phillips County,4367,6,6,6
8097,CO,Pitkin County,17263,5,6,6
8099,CO,Prowers County,12389,6,6,6
8101,CO,Pueblo County,160852,4,4,4
8103,CO,Rio Blanco County,6857,6,6,6
8105,CO,Rio Grande County,11943,6,6,6
8107,CO,Routt County,23334,5,6,6
8109,CO,Saguache County,6304,6,6,6
8111,CO,San Juan County,690,6,6,6
8113,CO,San Miguel County,7580,6,6,6
8115,CO,Sedgwick County,2383,6,6,6
8117,CO,Summit County,28044,5,5,6
8119,CO,Teller County,23389,3,3,6
8121,CO,Washington County,4766,6,6,6
8123,CO,Weld County,263691,3,4,4
8125,CO,Yuma County,10119,6,6,6
9001,CT,Fairfield County,933835,3,3,3
9003,CT,Hartford County,897259,1,1,1
9005,CT,Litchfield County,187530,5,5,2
9007,CT,Middlesex County,165602,2,2,2
9009,CT,New Haven County,862813,3,3,3
9011,CT,New London County,274170,3,3,3
9013,CT,Tolland County,151539,2,2,2
9015,CT,Windham County,117599,3,5,2
10001,DE,Kent County,167626,4,4,4
10003,DE,New Castle County,546076,2,2,3
10005,DE,Sussex County,203390,3,5,6
11001,DC,District of Columbia,632323,1,1,1
12001,FL,Alachua County,251417,3,4,4
12003,FL,Baker County,27086,2,2,6
12005,FL,Bay County,171903,4,4,4
12007,FL,Bradford County,27049,6,6,6
12009,FL,Brevard County,547307,3,3,3
12011,FL,Broward County,1815137,2,2,1
12013,FL,Calhoun County,14723,6,6,6
12015,FL,Charlotte County,162449,4,4,4
12017,FL,Citrus County,139360,4,5,6
12019,FL,Clay County,194345,2,2,3
12021,FL,Collier County,332427,3,3,4
12023,FL,Columbia County,67966,5,5,5
12027,FL,DeSoto County,34712,5,5,6
12029,FL,Dixie County,16126,6,6,6
12031,FL,Duval County,879602,1,1,3
