,fips_code,county_name,state,avg_household,total_pop,pop_dens,state_abr,nchs_code_2012
214,6059,Orange County,California,3.02,3164182,1541.02666980495,CA,1
222,6075,San Francisco County,California,2.36,870044,7168.19047136798,CA,1
259,8031,Denver County,Colorado,2.31,693417,1746.53366714867,CO,1
318,11001,District of Columbia,District of Columbia,2.29,684498,4322.95256868476,DC,1
370,12103,Pinellas County,Florida,2.31,957875,1351.00989532327,FL,1
429,13089,DeKalb County,Georgia,2.63,743187,1071.7920829819,GA,2
609,17031,Cook County,Illinois,2.61,5223719,2134.42072675723,IL,1
615,17043,DuPage County,Illinois,2.69,931743,1097.70680051702,IL,2
1214,24510,Baltimore city,Maryland,2.48,614700,2932.04076142432,MD,1
1227,25025,Suffolk County,Massachusetts,2.41,791766,5248.51983296846,MA,1
1310,26163,Wayne County,Michigan,2.57,1761382,1111.24397371973,MI,1
1373,27123,Ramsey County,Minnesota,2.52,541493,1373.48668948003,MN,1
1595,29510,St. Louis city,Missouri,2.14,311273,1946.48852152518,MO,1
1773,34003,Bergen County,New Jersey,2.72,929999,1542.51463078774,NJ,2
1778,34013,Essex County,New Jersey,2.73,793555,2430.06238473315,NJ,1
1780,34017,Hudson County,New Jersey,2.59,668631,5589.05694996684,NJ,1
1783,34023,Middlesex County,New Jersey,2.8,826698,1032.24836604565,NJ,2
1787,34031,Passaic County,New Jersey,3.03,504041,1046.23333809151,NJ,2
1791,34039,Union County,New Jersey,2.89,553066,2077.9430593196,NJ,1
1827,36005,Bronx County,New York,2.79,1437872,13202.5153048954,NY,1
1848,36047,Kings County,New York,2.69,2600747,14475.0254388117,NY,1
1854,36059,Nassau County,New York,3.0,1356564,1840.44398406769,NY,2
1855,36061,New York County,New York,2.07,1632480,27819.8048012476,NY,1
1865,36081,Queens County,New York,2.91,2298513,8158.43715313306,NY,1
1867,36085,Richmond County,New York,2.81,474101,3182.46932315142,NY,1
2057,39035,Cuyahoga County,Ohio,2.27,1253783,1058.84554179091,OH,1
2263,42045,Delaware County,Pennsylvania,2.62,563527,1183.66103608761,PA,2
2291,42101,Philadelphia County,Pennsylvania,2.57,1575522,4531.77182152852,PA,1
2576,48113,Dallas County,Texas,2.79,2586552,1145.19391461404,TX,1
2620,48201,Harris County,Texas,2.88,4602523,1042.13065070773,TX,1
2823,51013,Arlington County,Virginia,2.18,231803,3442.63585463294,VA,1
2845,51059,Fairfax County,Virginia,2.88,1143529,1129.20580464924,VA,2
2912,51510,Alexandria city,Virginia,2.21,156505,4046.49321287735,VA,1
2921,51600,Fairfax city,Virginia,2.72,23865,1476.54520471141,VA,2
2922,51610,Falls Church city,Virginia,2.66,14067,2654.0182424841,VA,2
2924,51630,Fredericksburg city,Virginia,2.44,28469,1051.79082452251,VA,2
2926,51650,Hampton city,Virginia,2.44,135583,1018.34027202183,VA,2
2931,51683,Manassas city,Virginia,3.25,41457,1625.07006808854,VA,2
2932,51685,Manassas Park city,Virginia,3.49,16423,2511.65404110499,VA,2
2934,51700,Newport News city,Virginia,2.47,180145,1006.30368020134,VA,2
2935,51710,Norfolk city,Virginia,2.49,245592,1779.83490362982,VA,1
2939,51740,Portsmouth city,Virginia,2.52,95311,1105.07804527461,VA,2
2941,51760,Richmond city,Virginia,2.37,223787,1442.14668748179,VA,1
3084,55079,Milwaukee County,Wisconsin,2.44,954209,1525.65896177732,WI,1
