,county,state,avg_household,total_pop,pop_dens(/sqmi),nchs_code_2013
1,san francisco,california,2.36,870044,7168.19047136798,1
4,district of,district of columbia,2.29,684498,4322.95256868476,1
10,suffolk,massachusetts,2.41,791766,5248.51983296846,1
14,hudson,new jersey,2.59,668631,5589.05694996684,1
16,bronx,new york,2.79,1437872,13202.5153048954,1
17,new york,new york,2.07,1632480,27819.8048012476,1
18,queens,new york,2.91,2298513,8158.43715313306,1
20,philadelphia,pennsylvania,2.57,1575522,4531.77182152852,1
21,arlington,virginia,2.18,231803,3442.63585463294,1
23,alexandria,virginia,2.21,156505,4046.49321287735,1
