,county,state,avg_household,total_pop,pop_dens(/sqmi),nchs_code_2013
0,orange,california,3.02,3164182,1541.02666980495,1
2,denver,colorado,2.31,693417,1746.53366714867,1
3,middlesex,new jersey,2.8,826698,1032.24836604565,2
5,nassau,new york,3.0,1356564,1840.44398406769,2
6,pinellas,florida,2.31,957875,1351.00989532327,1
7,dupage,illinois,2.69,931743,1097.70680051702,2
8,baltimore,maryland,2.48,614700,2932.04076142432,1
9,essex,new jersey,2.73,793555,2430.06238473315,2
11,ramsey,minnesota,2.52,541493,1373.48668948003,1
12,st. louis,missouri,2.14,311273,1946.48852152518,1
13,bergen,new jersey,2.72,929999,1542.51463078774,2
15,passaic,new jersey,3.03,504041,1046.23333809151,2
19,cuyahoga,ohio,2.27,1253783,1058.84554179091,1
22,fairfax,virginia,2.88,1143529,1129.20580464924,2
24,fairfax,virginia,2.72,23865,1476.54520471141,2
25,falls church,virginia,2.66,14067,2654.0182424841,2
26,fredericksburg,virginia,2.44,28469,1051.79082452251,2
27,hampton,virginia,2.44,135583,1018.34027202183,2
28,manassas,virginia,3.25,41457,1625.07006808854,2
29,manassas park,virginia,3.49,16423,2511.65404110499,2
30,newport news,virginia,2.47,180145,1006.30368020134,2
31,norfolk,virginia,2.49,245592,1779.83490362982,1
32,portsmouth,virginia,2.52,95311,1105.07804527461,2
33,richmond,virginia,2.37,223787,1442.14668748179,1
34,milwaukee,wisconsin,2.44,954209,1525.65896177732,1
