,date,county,state,total_cases,new_cases,delta7,delta14
0,2020-03-11,baltimore,maryland,1,,,
1,2020-03-12,baltimore,maryland,1,0,,
2,2020-03-13,baltimore,maryland,2,1,,
3,2020-03-14,baltimore,maryland,3,1,,
4,2020-03-15,baltimore,maryland,3,0,,
5,2020-03-16,baltimore,maryland,4,1,,
6,2020-03-17,baltimore,maryland,4,0,,
7,2020-03-18,baltimore,maryland,7,3,6,
8,2020-03-19,baltimore,maryland,13,6,12,
9,2020-03-20,baltimore,maryland,13,0,11,
10,2020-03-21,baltimore,maryland,19,6,16,
11,2020-03-22,baltimore,maryland,28,9,25,
12,2020-03-23,baltimore,maryland,35,7,31,
13,2020-03-24,baltimore,maryland,42,7,38,
14,2020-03-25,baltimore,maryland,51,9,44,50
15,2020-03-26,baltimore,maryland,81,30,68,80
16,2020-03-27,baltimore,maryland,103,22,90,101
17,2020-03-28,baltimore,maryland,141,38,122,138
18,2020-03-29,baltimore,maryland,162,21,134,159
19,2020-03-30,baltimore,maryland,186,24,151,182
20,2020-03-31,baltimore,maryland,227,41,185,223
21,2020-04-01,baltimore,maryland,289,62,238,282
22,2020-04-02,baltimore,maryland,353,64,272,340
23,2020-04-03,baltimore,maryland,427,74,324,414
24,2020-04-04,baltimore,maryland,491,64,350,472
25,2020-04-05,baltimore,maryland,590,99,428,562
26,2020-04-06,baltimore,maryland,648,58,462,613
27,2020-04-07,baltimore,maryland,652,4,425,610
28,2020-04-08,baltimore,maryland,866,214,577,815
29,2020-04-09,baltimore,maryland,979,113,626,898
30,2020-04-10,baltimore,maryland,1072,93,645,969
31,2020-04-11,baltimore,maryland,1173,101,682,1032
32,2020-04-12,baltimore,maryland,1257,84,667,1095
33,2020-04-13,baltimore,maryland,1361,104,713,1175
34,2020-04-14,baltimore,maryland,1377,16,725,1150
35,2020-04-15,baltimore,maryland,1490,113,624,1201
36,2020-04-16,baltimore,maryland,1522,32,543,1169
37,2020-04-17,baltimore,maryland,1576,54,504,1149
38,2020-04-18,baltimore,maryland,1671,95,498,1180
39,2020-04-19,baltimore,maryland,1739,68,482,1149
40,2020-04-20,baltimore,maryland,1881,142,520,1233
41,2020-04-21,baltimore,maryland,1932,51,555,1280
42,2020-04-22,baltimore,maryland,2021,89,531,1155
43,2020-04-23,baltimore,maryland,2141,120,619,1162
44,2020-04-24,baltimore,maryland,2243,102,667,1171
45,2020-04-25,baltimore,maryland,2397,154,726,1224
46,2020-04-26,baltimore,maryland,2519,122,780,1262
47,2020-04-27,baltimore,maryland,2559,40,678,1198
48,2020-04-28,baltimore,maryland,2644,85,712,1267
49,2020-04-29,baltimore,maryland,2754,110,733,1264
50,2020-04-30,baltimore,maryland,2844,90,703,1322
51,2020-05-01,baltimore,maryland,3026,182,783,1450
52,2020-05-02,baltimore,maryland,3197,171,800,1526
53,2020-05-03,baltimore,maryland,3315,118,796,1576
54,2020-05-04,baltimore,maryland,3463,148,904,1582
55,2020-05-05,baltimore,maryland,3445,-18,801,1513
56,2020-05-06,baltimore,maryland,3541,96,787,1520
57,2020-05-07,baltimore,maryland,3676,135,832,1535
58,2020-05-08,baltimore,maryland,3778,102,752,1535
59,2020-05-09,baltimore,maryland,3753,-25,556,1356
60,2020-05-10,baltimore,maryland,3878,125,563,1359
61,2020-05-11,baltimore,maryland,3964,86,501,1405
62,2020-05-12,baltimore,maryland,4067,103,622,1423
63,2020-05-13,baltimore,maryland,4175,108,634,1421
64,2020-05-14,baltimore,maryland,4306,131,630,1462
65,2020-05-15,baltimore,maryland,4416,110,638,1390
66,2020-05-16,baltimore,maryland,4566,150,813,1369
67,2020-05-17,baltimore,maryland,4642,76,764,1327
68,2020-05-18,baltimore,maryland,4767,125,803,1304
69,2020-05-19,baltimore,maryland,4936,169,869,1491
70,2020-05-20,baltimore,maryland,5041,105,866,1500
