,date,county,state,temp_max(C),precip_sum(mm),wind_max(km/h),min_humidity(%),max_humidity(%),mean_humidity(%)
0,2020-01-01,baltimore,maryland,4.7,0.0,20.9,42,72,54.0
1,2020-01-02,baltimore,maryland,4.2,0.0,18.8,64,84,72.0
2,2020-01-03,baltimore,maryland,9.0,6.8,18.0,68,100,92.0
3,2020-01-04,baltimore,maryland,10.5,10.8,20.6,85,100,95.0
4,2020-01-05,baltimore,maryland,3.6,0.4,33.0,43,92,59.0
5,2020-01-06,baltimore,maryland,4.2,0.0,18.8,46,80,65.0
6,2020-01-07,baltimore,maryland,1.4,8.6,20.8,53,97,76.0
7,2020-01-08,baltimore,maryland,1.3,0.0,29.4,46,90,65.0
8,2020-01-09,baltimore,maryland,-1.0,0.0,18.2,42,67,51.0
9,2020-01-10,baltimore,maryland,5.9,0.0,19.7,71,95,81.0
10,2020-01-11,baltimore,maryland,14.1,0.7,27.0,81,95,88.0
11,2020-01-12,baltimore,maryland,15.1,4.4,38.2,52,98,74.0
12,2020-01-13,baltimore,maryland,8.0,0.0,12.1,73,95,82.0
13,2020-01-14,baltimore,maryland,6.2,1.5,10.3,91,99,97.0
14,2020-01-15,baltimore,maryland,8.3,0.0,18.4,55,100,86.0
15,2020-01-16,baltimore,maryland,8.0,0.0,31.6,41,99,65.0
16,2020-01-17,baltimore,maryland,0.1,0.0,30.9,35,59,45.0
17,2020-01-18,baltimore,maryland,0.2,9.5,28.5,49,94,68.0
18,2020-01-19,baltimore,maryland,2.9,1.3,28.0,44,97,68.0
19,2020-01-20,baltimore,maryland,-2.2,0.0,28.3,35,51,44.0
20,2020-01-21,baltimore,maryland,-2.4,0.0,22.1,42,65,49.0
21,2020-01-22,baltimore,maryland,-1.4,0.0,13.1,46,74,61.0
22,2020-01-23,baltimore,maryland,0.3,0.0,8.2,50,85,73.0
23,2020-01-24,baltimore,maryland,4.0,0.0,24.5,75,90,83.0
24,2020-01-25,baltimore,maryland,7.7,27.8,28.0,85,100,93.0
25,2020-01-26,baltimore,maryland,3.9,0.0,19.1,53,88,71.0
