time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,4.7,0.00,20.9
2020-01-02,4.2,0.00,18.8
2020-01-03,9.0,6.80,18.0
2020-01-04,10.5,10.80,20.6
2020-01-05,3.6,0.40,33.0
2020-01-06,4.2,0.00,18.8
2020-01-07,1.4,8.60,20.8
2020-01-08,1.3,0.00,29.4
2020-01-09,-1.0,0.00,18.2
2020-01-10,5.9,0.00,19.7
2020-01-11,14.1,0.70,27.0
2020-01-12,15.1,4.40,38.2
2020-01-13,8.0,0.00,12.1
2020-01-14,6.2,1.50,10.3
2020-01-15,8.3,0.00,18.4
2020-01-16,8.0,0.00,31.6
2020-01-17,0.1,0.00,30.9
2020-01-18,0.2,9.50,28.5
2020-01-19,2.9,1.30,28.0
2020-01-20,-2.2,0.00,28.3
2020-01-21,-2.4,0.00,22.1
2020-01-22,-1.4,0.00,13.1
2020-01-23,0.3,0.00,8.2
2020-01-24,4.0,0.00,24.5
2020-01-25,7.7,27.80,28.0
2020-01-26,3.9,0.00,19.1
2020-01-27,3.6,0.00,18.1
2020-01-28,3.8,0.00,20.4
2020-01-29,2.8,0.00,18.7
2020-01-30,-0.4,0.00,13.2
2020-01-31,2.2,0.60,7.6
2020-02-01,3.5,3.50,7.6
2020-02-02,4.5,0.70,20.4
2020-02-03,9.9,0.00,17.7
2020-02-04,11.8,2.20,18.1
2020-02-05,6.2,5.40,21.8
2020-02-06,5.3,46.70,13.6
2020-02-07,7.6,17.10,36.8
2020-02-08,2.3,0.00,25.4
2020-02-09,3.1,0.00,21.0
2020-02-10,6.7,9.00,27.5
2020-02-11,9.7,12.60,13.8
2020-02-12,5.6,3.80,21.6
2020-02-13,8.0,8.80,27.2
2020-02-14,1.3,0.00,26.5
2020-02-15,-2.3,0.00,20.7
2020-02-16,2.7,0.00,20.4
2020-02-17,4.7,0.00,13.7
2020-02-18,7.3,0.50,16.3
2020-02-19,6.6,1.30,21.7
2020-02-20,1.4,0.00,21.1
2020-02-21,-0.7,0.00,24.1
2020-02-22,2.1,0.00,15.6
2020-02-23,4.2,0.00,11.4
2020-02-24,6.4,0.10,13.8
2020-02-25,7.4,6.80,15.1
2020-02-26,8.5,3.50,19.0
2020-02-27,4.2,7.80,37.2
2020-02-28,2.7,0.10,24.9
2020-02-29,0.5,0.00,30.6
2020-03-01,2.2,0.00,19.1
2020-03-02,7.7,1.20,25.4
2020-03-03,10.4,2.30,28.9
2020-03-04,10.2,0.00,25.2
2020-03-05,7.3,0.00,21.6
2020-03-06,4.8,4.20,18.3
2020-03-07,4.7,2.00,31.1
2020-03-08,6.0,0.00,18.7
2020-03-09,10.9,0.00,21.0
2020-03-10,14.0,1.20,26.3
2020-03-11,9.1,0.20,20.9
2020-03-12,9.9,0.00,14.8
2020-03-13,14.5,7.60,24.7
2020-03-14,9.4,2.00,20.1
2020-03-15,7.1,6.90,14.7
2020-03-16,6.5,0.00,21.4
2020-03-17,9.0,2.10,16.6
2020-03-18,8.7,0.80,18.3
2020-03-19,13.2,14.40,17.4
2020-03-20,18.8,0.10,30.0
2020-03-21,10.5,0.90,21.5
2020-03-22,6.4,0.00,24.1
2020-03-23,5.7,13.10,25.3
2020-03-24,8.3,0.00,14.6
2020-03-25,7.2,9.10,21.5
2020-03-26,9.0,0.00,19.5
2020-03-27,13.0,1.40,13.8
2020-03-28,11.5,15.10,16.9
2020-03-29,12.5,0.00,15.9
2020-03-30,13.9,0.00,16.1
2020-03-31,8.9,2.60,21.1
2020-04-01,7.9,1.20,21.7
2020-04-02,9.7,0.00,32.4
2020-04-03,10.9,0.00,30.0
2020-04-04,10.5,0.00,18.8
2020-04-05,12.8,0.00,13.2
2020-04-06,13.8,0.30,14.8
2020-04-07,13.5,3.40,13.0
2020-04-08,17.4,1.10,17.1
2020-04-09,13.3,0.70,40.3
2020-04-10,7.5,0.10,42.3
2020-04-11,8.4,0.00,24.2
2020-04-12,12.2,1.40,25.6
2020-04-13,16.5,72.80,41.7
2020-04-14,10.4,0.70,28.3
2020-04-15,7.3,7.10,22.8
2020-04-16,6.8,0.00,27.7
2020-04-17,7.5,0.10,23.5
2020-04-18,9.2,2.40,31.2
2020-04-19,9.9,0.00,21.9
2020-04-20,11.3,0.10,15.8
2020-04-21,11.5,3.70,36.4
2020-04-22,7.4,0.00,29.1
2020-04-23,9.9,14.30,13.7
2020-04-24,10.3,20.70,18.7
2020-04-25,12.3,2.30,16.8
2020-04-26,10.5,8.70,17.3
2020-04-27,9.4,2.30,27.8
2020-04-28,9.9,0.00,12.9
2020-04-29,14.6,0.40,25.0
2020-04-30,15.7,42.10,40.0
2020-05-01,14.5,0.00,26.3
2020-05-02,15.3,0.00,26.0
2020-05-03,18.8,5.50,20.9
2020-05-04,17.1,7.80,30.0
2020-05-05,11.4,2.70,19.9
2020-05-06,10.2,8.10,16.8
2020-05-07,12.1,1.00,19.1
2020-05-08,12.0,6.90,37.6
2020-05-09,5.8,0.10,35.2
2020-05-10,10.0,0.00,21.9
2020-05-11,11.3,0.80,30.6
2020-05-12,9.8,0.00,24.9
2020-05-13,12.0,0.00,14.1
2020-05-14,14.0,0.00,16.6
2020-05-15,21.0,0.00,23.8
2020-05-16,20.7,0.00,21.1
2020-05-17,16.4,0.40,21.3
2020-05-18,15.8,0.00,21.3
2020-05-19,15.2,0.00,31.0
2020-05-20,12.5,0.30,26.8
2020-05-21,14.1,0.00,17.3
2020-05-22,16.7,12.90,15.3
2020-05-23,20.5,5.70,19.1
2020-05-24,16.9,0.00,20.0
2020-05-25,18.6,0.00,9.2
2020-05-26,19.5,0.00,10.0
2020-05-27,20.0,0.00,12.6
2020-05-28,21.8,3.30,25.3
2020-05-29,23.2,4.10,24.9
2020-05-30,22.5,0.00,18.0
2020-05-31,18.2,0.00,24.3
2020-06-01,16.7,0.00,22.3
2020-06-02,17.7,0.00,17.3
2020-06-03,25.3,0.10,22.9
2020-06-04,25.6,1.30,14.6
2020-06-05,23.9,9.80,18.6
2020-06-06,25.1,2.70,16.8
2020-06-07,22.0,0.00,18.7
2020-06-08,21.2,0.00,16.1
2020-06-09,23.8,0.00,16.9
2020-06-10,26.9,0.60,27.7
2020-06-11,25.9,4.30,28.4
2020-06-12,24.8,0.00,16.4
2020-06-13,21.2,0.00,21.1
2020-06-14,20.1,0.20,19.2
2020-06-15,20.5,0.00,18.7
2020-06-16,20.5,0.00,23.1
2020-06-17,20.2,4.20,25.0
2020-06-18,22.4,2.40,21.8
2020-06-19,22.8,7.10,16.6
2020-06-20,22.1,4.90,13.2
2020-06-21,23.4,1.60,11.5
2020-06-22,24.8,6.30,17.7
2020-06-23,25.0,2.00,15.4
2020-06-24,24.5,1.10,18.7
2020-06-25,23.4,0.80,15.5
2020-06-26,24.8,0.00,15.8
2020-06-27,26.0,1.80,21.1
2020-06-28,26.4,0.40,14.4
2020-06-29,27.0,0.00,17.7
2020-06-30,26.6,0.10,14.1
2020-07-01,25.3,1.00,9.7
2020-07-02,26.5,0.00,12.0
2020-07-03,29.3,0.00,14.3
2020-07-04,27.7,1.00,13.0
2020-07-05,27.8,5.10,13.7
2020-07-06,27.3,21.80,24.7
2020-07-07,25.9,2.90,17.5
2020-07-08,27.1,1.20,14.8
2020-07-09,27.1,0.00,13.6
2020-07-10,25.9,3.00,22.8
2020-07-11,27.7,0.00,17.3
2020-07-12,26.7,0.00,17.5
2020-07-13,25.7,0.00,11.9
2020-07-14,26.6,0.00,13.2
2020-07-15,26.4,0.00,20.2
2020-07-16,25.4,0.10,22.7
2020-07-17,28.4,0.00,21.3
2020-07-18,29.7,0.00,11.7
2020-07-19,30.4,0.00,16.2
2020-07-20,31.5,0.00,15.8
2020-07-21,30.2,1.00,18.5
2020-07-22,27.6,13.00,19.1
2020-07-23,27.1,12.20,15.3
2020-07-24,25.6,13.10,9.6
2020-07-25,26.7,1.10,8.8
2020-07-26,29.1,0.00,12.4
2020-07-27,29.3,0.00,17.4
2020-07-28,28.9,0.00,16.1
2020-07-29,28.4,0.00,13.6
2020-07-30,29.0,0.30,20.4
2020-07-31,24.4,17.90,11.9
2020-08-01,26.0,0.40,15.5
2020-08-02,28.4,3.60,24.4
2020-08-03,26.2,7.00,14.7
2020-08-04,24.7,69.80,43.0
2020-08-05,25.3,0.00,11.7
2020-08-06,24.1,13.00,14.5
2020-08-07,23.6,18.40,16.3
2020-08-08,24.5,1.30,10.3
2020-08-09,25.7,0.50,13.7
2020-08-10,27.2,0.00,14.4
2020-08-11,27.3,0.60,14.8
2020-08-12,26.6,15.80,10.7
2020-08-13,24.4,26.40,13.9
2020-08-14,24.5,15.60,16.8
2020-08-15,23.5,3.80,14.3
2020-08-16,21.2,25.50,25.1
2020-08-17,22.5,1.30,15.3
2020-08-18,23.9,0.00,16.1
2020-08-19,22.9,0.30,12.6
2020-08-20,22.2,0.00,15.2
2020-08-21,23.3,1.00,14.8
2020-08-22,24.3,4.10,15.7
2020-08-23,24.4,19.10,12.2
2020-08-24,25.6,2.10,13.6
2020-08-25,27.3,0.00,19.8
2020-08-26,25.0,0.00,17.1
2020-08-27,27.4,0.20,22.4
2020-08-28,26.6,3.60,18.4
2020-08-29,25.4,11.80,19.1
2020-08-30,22.9,0.00,19.4
2020-08-31,21.5,10.30,12.9
2020-09-01,22.4,2.10,14.6
2020-09-02,25.1,3.70,18.3
2020-09-03,25.8,3.20,16.0
2020-09-04,25.5,0.40,16.1
2020-09-05,21.9,0.00,19.1
2020-09-06,21.9,0.00,13.3
2020-09-07,22.1,0.00,14.1
2020-09-08,23.4,0.00,11.9
2020-09-09,23.3,2.10,15.6
2020-09-10,23.4,39.40,13.3
2020-09-11,23.8,1.10,16.6
2020-09-12,20.8,0.80,19.5
2020-09-13,21.1,0.00,12.4
2020-09-14,21.9,0.00,20.2
2020-09-15,16.3,0.00,20.4
2020-09-16,17.5,0.00,12.4
2020-09-17,20.1,2.50,12.5
2020-09-18,19.6,3.20,29.2
2020-09-19,13.7,0.00,28.1
2020-09-20,13.2,0.00,15.7
2020-09-21,13.7,0.00,17.8
2020-09-22,14.5,0.00,16.5
2020-09-23,18.7,0.00,17.8
2020-09-24,19.0,0.00,11.2
2020-09-25,18.1,0.90,14.8
2020-09-26,18.7,6.80,10.6
2020-09-27,20.7,0.30,8.9
2020-09-28,21.8,0.00,22.3
2020-09-29,21.3,12.10,26.1
2020-09-30,17.0,16.20,22.7
2020-10-01,18.0,1.20,19.3
2020-10-02,16.0,5.30,15.8
2020-10-03,13.8,0.00,14.8
2020-10-04,14.9,0.00,8.9
2020-10-05,15.2,1.40,14.7
2020-10-06,15.9,0.00,14.6
2020-10-07,18.8,0.00,23.7
2020-10-08,16.0,0.00,20.4
2020-10-09,14.9,0.00,15.8
2020-10-10,17.8,0.00,19.3
2020-10-11,18.5,13.30,19.6
2020-10-12,15.4,28.10,30.1
2020-10-13,16.0,0.80,18.1
2020-10-14,15.1,0.00,18.2
2020-10-15,17.8,0.00,25.7
2020-10-16,14.7,7.70,20.9
2020-10-17,11.4,0.00,18.2
2020-10-18,12.9,0.00,13.6
2020-10-19,15.2,0.00,13.2
2020-10-20,17.0,0.00,10.3
2020-10-21,18.6,0.00,14.1
2020-10-22,19.2,0.00,9.7
2020-10-23,18.2,0.00,14.1
2020-10-24,18.0,0.00,19.9
2020-10-25,9.8,18.80,20.0
2020-10-26,13.7,0.00,13.5
2020-10-27,14.8,1.40,10.4
2020-10-28,17.2,0.60,19.6
2020-10-29,13.9,51.60,25.6
2020-10-30,9.4,8.30,23.9
2020-10-31,7.6,0.00,16.5
2020-11-01,10.5,12.40,36.7
2020-11-02,5.8,0.00,40.1
2020-11-03,8.8,0.00,27.8
2020-11-04,11.1,0.00,15.7
2020-11-05,12.4,0.00,15.2
2020-11-06,13.6,0.00,12.0
2020-11-07,13.4,0.00,9.6
2020-11-08,14.2,0.00,8.7
2020-11-09,15.1,0.00,12.3
2020-11-10,16.2,0.00,15.9
2020-11-11,18.5,50.00,20.9
2020-11-12,14.7,23.70,22.7
2020-11-13,11.7,1.20,15.3
2020-11-14,8.5,0.00,13.9
2020-11-15,12.0,8.90,37.9
2020-11-16,10.4,0.00,33.0
2020-11-17,6.4,0.30,33.9
2020-11-18,2.9,0.00,26.2
2020-11-19,4.3,0.00,22.6
2020-11-20,8.9,0.00,20.9
2020-11-21,12.0,0.00,11.7
2020-11-22,10.8,0.30,16.5
2020-11-23,9.9,6.90,29.8
2020-11-24,5.8,0.00,17.9
2020-11-25,9.1,0.10,20.7
2020-11-26,14.5,5.00,24.7
2020-11-27,11.8,0.00,8.0
2020-11-28,9.8,0.00,16.3
2020-11-29,6.8,0.00,13.5
2020-11-30,12.2,28.80,32.6
2020-12-01,6.2,0.40,29.0
2020-12-02,4.3,0.00,27.9
2020-12-03,4.8,0.00,16.9
2020-12-04,6.4,8.40,17.7
2020-12-05,7.1,21.30,28.8
2020-12-06,3.4,0.00,22.3
2020-12-07,1.4,0.00,20.1
2020-12-08,2.5,0.00,23.5
2020-12-09,2.2,0.20,19.5
2020-12-10,4.1,0.00,11.8
2020-12-11,6.3,0.00,17.0
2020-12-12,9.3,0.00,21.5
2020-12-13,11.3,0.20,20.5
2020-12-14,4.5,23.40,24.9
2020-12-15,1.7,0.00,22.0
2020-12-16,0.7,26.20,37.0
2020-12-17,0.0,11.30,35.8
2020-12-18,-0.2,0.00,18.3
2020-12-19,-1.1,0.00,11.6
2020-12-20,2.2,0.80,20.5
2020-12-21,4.2,0.10,14.8
2020-12-22,5.0,0.80,33.4
2020-12-23,3.2,0.00,21.1
2020-12-24,10.7,26.00,35.8
2020-12-25,3.7,13.80,34.1
2020-12-26,-2.6,0.00,26.6
2020-12-27,-0.6,0.00,15.6
2020-12-28,4.8,0.00,21.7
2020-12-29,1.9,0.00,22.5
2020-12-30,1.9,0.00,27.2
2020-12-31,6.3,2.60,27.9
