time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,11.3,0.70,9.7
2020-01-02,12.9,0.10,12.5
2020-01-03,12.9,0.00,22.7
2020-01-04,13.1,0.00,14.7
2020-01-05,13.4,0.00,17.9
2020-01-06,14.4,0.00,24.5
2020-01-07,13.7,0.00,24.5
2020-01-08,12.6,0.10,23.9
2020-01-09,20.1,0.50,25.2
2020-01-10,20.6,18.00,33.4
2020-01-11,13.4,0.00,22.5
2020-01-12,11.0,0.00,13.3
2020-01-13,13.6,1.00,7.4
2020-01-14,18.9,0.80,13.0
2020-01-15,21.7,1.10,17.7
2020-01-16,19.9,18.40,17.6
2020-01-17,19.1,3.80,14.3
2020-01-18,17.8,3.60,21.5
2020-01-19,10.1,0.00,23.3
2020-01-20,9.8,0.00,13.1
2020-01-21,10.9,0.00,23.7
2020-01-22,13.0,13.10,14.5
2020-01-23,14.7,0.00,16.4
2020-01-24,12.5,0.00,11.4
2020-01-25,13.5,0.00,20.6
2020-01-26,17.6,0.10,9.4
2020-01-27,15.5,0.00,14.1
2020-01-28,16.1,9.30,26.7
2020-01-29,12.0,0.00,20.7
2020-01-30,8.6,0.60,18.4
2020-01-31,11.2,0.00,10.7
2020-02-01,12.3,0.00,14.5
2020-02-02,14.1,0.00,17.2
2020-02-03,16.9,1.20,18.1
2020-02-04,19.9,0.00,23.7
2020-02-05,8.0,2.80,27.1
2020-02-06,6.1,0.40,28.0
2020-02-07,11.8,0.00,15.3
2020-02-08,13.7,0.00,20.6
2020-02-09,18.9,4.50,19.7
2020-02-10,19.0,7.50,21.0
2020-02-11,8.9,4.20,21.7
2020-02-12,11.0,18.00,14.9
2020-02-13,10.3,0.00,18.6
2020-02-14,7.6,0.00,15.3
2020-02-15,11.5,0.00,12.8
2020-02-16,16.0,0.00,10.9
2020-02-17,19.8,0.10,16.1
2020-02-18,18.5,1.60,25.7
2020-02-19,11.3,0.60,20.2
2020-02-20,8.8,2.40,26.8
2020-02-21,8.2,0.00,18.9
2020-02-22,10.7,0.00,16.6
2020-02-23,16.6,0.00,21.5
2020-02-24,18.5,1.30,16.1
2020-02-25,14.2,0.00,25.3
2020-02-26,9.0,0.00,29.2
2020-02-27,7.8,0.00,10.1
2020-02-28,11.7,0.00,12.7
2020-02-29,14.5,0.00,22.1
2020-03-01,18.5,0.00,21.1
2020-03-02,19.5,0.00,13.4
2020-03-03,21.2,0.00,20.9
2020-03-04,19.4,18.20,27.3
2020-03-05,16.0,0.00,23.4
2020-03-06,15.3,0.00,18.4
2020-03-07,14.4,0.10,17.9
2020-03-08,17.0,0.00,25.9
2020-03-09,18.8,3.30,21.3
2020-03-10,20.6,0.00,13.0
2020-03-11,22.1,0.00,16.3
2020-03-12,23.1,0.00,19.4
2020-03-13,22.9,0.10,22.5
2020-03-14,24.0,0.90,21.5
2020-03-15,21.8,3.30,16.3
2020-03-16,21.2,1.90,17.9
2020-03-17,22.8,0.30,20.1
2020-03-18,23.6,0.20,21.3
2020-03-19,24.2,0.50,21.6
2020-03-20,18.4,26.30,24.0
2020-03-21,12.2,30.80,20.3
2020-03-22,16.6,2.30,11.1
2020-03-23,22.0,0.40,18.6
2020-03-24,23.2,0.00,16.9
2020-03-25,23.6,0.00,14.3
2020-03-26,23.5,0.00,18.1
2020-03-27,24.6,0.00,20.3
2020-03-28,22.4,9.30,19.9
2020-03-29,18.8,0.90,18.0
2020-03-30,21.4,1.50,15.1
2020-03-31,19.2,0.00,17.3
2020-04-01,18.3,0.00,20.0
2020-04-02,19.3,21.50,17.6
2020-04-03,20.7,23.60,21.1
2020-04-04,12.4,23.10,19.2
2020-04-05,15.8,0.00,12.3
2020-04-06,20.0,0.60,11.5
2020-04-07,23.1,0.00,12.0
2020-04-08,25.5,0.40,11.6
2020-04-09,24.0,13.10,18.2
2020-04-10,20.7,0.00,21.7
2020-04-11,21.6,1.30,17.3
2020-04-12,23.3,9.10,33.1
2020-04-13,14.5,0.00,27.4
2020-04-14,13.7,0.00,21.0
2020-04-15,13.8,0.00,16.7
2020-04-16,17.3,0.00,20.0
2020-04-17,20.0,3.10,17.8
2020-04-18,16.4,19.90,16.9
2020-04-19,22.5,4.80,20.5
2020-04-20,22.0,0.00,15.9
2020-04-21,23.2,0.00,18.9
2020-04-22,24.3,3.50,20.6
2020-04-23,23.9,0.00,17.0
2020-04-24,24.8,0.00,26.2
2020-04-25,22.1,1.00,23.9
2020-04-26,21.4,0.00,16.4
2020-04-27,23.6,0.00,23.7
2020-04-28,26.7,0.40,23.2
2020-04-29,24.5,0.10,26.2
2020-04-30,21.9,0.00,13.3
2020-05-01,24.1,0.00,20.1
2020-05-02,25.6,0.00,23.0
2020-05-03,26.3,0.00,20.1
2020-05-04,27.2,0.00,20.5
2020-05-05,26.5,0.40,23.4
2020-05-06,23.4,3.20,20.7
2020-05-07,23.5,0.20,23.7
2020-05-08,25.4,0.30,27.7
2020-05-09,21.3,0.00,19.3
2020-05-10,21.4,0.00,13.0
2020-05-11,22.4,0.00,20.5
2020-05-12,23.1,9.50,18.5
2020-05-13,25.1,0.80,19.3
2020-05-14,26.7,0.10,17.8
2020-05-15,25.9,0.40,19.9
2020-05-16,24.1,8.80,17.6
2020-05-17,25.0,0.00,8.9
2020-05-18,26.7,0.00,13.9
2020-05-19,28.0,0.00,15.5
2020-05-20,28.2,0.00,20.8
2020-05-21,27.6,3.00,22.5
2020-05-22,28.4,2.10,20.1
2020-05-23,28.3,1.00,22.7
2020-05-24,26.2,11.20,21.7
2020-05-25,24.1,21.10,18.5
2020-05-26,23.3,4.60,13.0
2020-05-27,25.6,0.40,17.9
2020-05-28,25.7,12.70,14.4
2020-05-29,25.8,0.00,15.9
2020-05-30,25.5,0.00,15.3
2020-05-31,24.8,4.00,13.7
2020-06-01,23.2,27.40,15.0
2020-06-02,24.7,3.70,12.2
2020-06-03,25.8,0.40,13.5
2020-06-04,27.3,0.00,12.7
2020-06-05,27.6,0.00,12.3
2020-06-06,28.6,0.00,11.3
2020-06-07,29.3,0.00,9.0
2020-06-08,31.1,0.00,18.0
2020-06-09,30.5,0.00,17.7
2020-06-10,28.8,0.00,20.3
2020-06-11,28.1,0.00,14.0
2020-06-12,27.4,0.00,15.5
2020-06-13,27.8,0.00,16.8
2020-06-14,27.2,0.00,13.0
2020-06-15,27.3,2.50,14.8
2020-06-16,27.9,0.40,19.1
2020-06-17,28.0,0.30,18.8
2020-06-18,27.9,1.80,18.2
2020-06-19,27.8,1.90,20.7
2020-06-20,28.5,0.00,18.4
2020-06-21,28.8,3.40,22.0
2020-06-22,29.0,0.00,24.3
2020-06-23,28.0,3.80,22.5
2020-06-24,27.6,0.00,14.4
2020-06-25,28.2,1.70,17.8
2020-06-26,24.6,20.60,19.2
2020-06-27,27.2,1.20,23.2
2020-06-28,27.8,3.60,25.5
2020-06-29,28.7,0.00,24.4
2020-06-30,29.1,0.00,22.4
2020-07-01,29.6,0.00,18.9
2020-07-02,30.0,0.00,17.4
2020-07-03,29.2,0.00,13.7
2020-07-04,30.4,0.00,14.8
2020-07-05,31.3,0.00,16.7
2020-07-06,30.5,0.00,17.1
2020-07-07,30.6,1.20,17.7
2020-07-08,30.9,0.20,19.6
2020-07-09,30.8,0.00,19.3
2020-07-10,31.1,0.00,21.3
2020-07-11,31.4,0.00,17.4
2020-07-12,31.8,0.00,16.0
2020-07-13,32.7,0.00,21.6
2020-07-14,31.8,0.00,23.7
2020-07-15,31.0,0.00,20.1
2020-07-16,30.3,0.70,17.7
