time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,3.3,0.00,24.8
2020-01-02,2.8,0.00,12.1
2020-01-03,8.2,3.10,12.0
2020-01-04,9.7,8.00,20.4
2020-01-05,3.7,0.40,30.0
2020-01-06,4.2,0.10,24.7
2020-01-07,2.4,4.20,13.0
2020-01-08,1.2,0.00,29.3
2020-01-09,-1.2,0.00,18.7
2020-01-10,5.4,0.00,17.4
2020-01-11,14.8,0.00,26.4
2020-01-12,15.7,4.60,36.0
2020-01-13,7.2,0.00,14.0
2020-01-14,5.8,2.00,8.7
2020-01-15,7.4,0.00,12.2
2020-01-16,7.1,1.70,33.0
2020-01-17,-0.8,0.00,28.3
2020-01-18,-1.5,7.10,24.3
2020-01-19,2.7,2.00,26.1
2020-01-20,-2.4,0.00,22.1
2020-01-21,-2.9,0.00,15.6
2020-01-22,-1.1,0.00,6.2
2020-01-23,0.2,0.00,6.6
2020-01-24,3.7,0.00,15.9
2020-01-25,7.8,30.40,30.6
2020-01-26,4.0,0.00,19.9
2020-01-27,3.6,0.00,19.2
2020-01-28,3.4,0.00,19.4
2020-01-29,2.2,0.00,15.5
2020-01-30,-0.7,0.00,12.0
2020-01-31,2.7,0.90,7.1
2020-02-01,3.0,0.90,7.2
2020-02-02,3.4,2.20,18.4
2020-02-03,7.0,0.00,15.8
2020-02-04,10.5,2.60,11.4
2020-02-05,6.0,2.10,19.1
2020-02-06,5.8,26.60,14.5
2020-02-07,8.1,17.20,40.7
2020-02-08,1.9,0.00,22.8
2020-02-09,2.5,0.00,12.6
2020-02-10,6.0,10.00,22.2
2020-02-11,8.5,11.50,13.4
2020-02-12,5.7,1.10,19.7
2020-02-13,7.4,14.70,17.9
2020-02-14,0.8,0.00,22.4
2020-02-15,-3.5,0.00,14.8
2020-02-16,2.0,0.00,13.7
2020-02-17,4.5,0.00,9.2
2020-02-18,7.9,0.00,14.3
2020-02-19,6.5,0.00,19.2
2020-02-20,0.7,0.00,12.8
2020-02-21,-1.3,0.00,19.9
2020-02-22,2.0,0.00,17.7
2020-02-23,4.1,0.00,12.7
2020-02-24,7.0,0.00,13.0
2020-02-25,7.4,6.90,12.8
2020-02-26,8.8,0.50,16.2
2020-02-27,4.7,9.90,35.4
2020-02-28,2.0,0.20,27.0
2020-02-29,-0.0,0.00,26.9
2020-03-01,1.4,0.00,18.4
2020-03-02,7.6,0.20,24.3
2020-03-03,11.0,6.00,24.9
2020-03-04,9.7,0.00,25.8
2020-03-05,7.1,0.00,16.3
2020-03-06,3.9,8.40,16.2
2020-03-07,4.2,1.10,26.3
2020-03-08,5.5,0.00,17.7
2020-03-09,11.5,0.00,16.4
2020-03-10,13.5,2.80,24.4
2020-03-11,10.1,0.00,17.1
2020-03-12,8.7,2.90,14.8
2020-03-13,14.5,9.40,25.2
2020-03-14,9.5,0.50,18.4
2020-03-15,7.8,2.30,10.9
2020-03-16,5.4,0.00,16.8
2020-03-17,8.3,3.10,17.9
2020-03-18,8.5,0.00,15.9
