time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,0.6,0.00,31.4
2020-01-02,5.2,0.00,29.8
2020-01-03,2.1,0.00,10.9
2020-01-04,0.2,3.50,21.0
2020-01-05,0.8,0.20,29.4
2020-01-06,1.0,0.00,22.2
2020-01-07,1.1,0.00,23.8
2020-01-08,-4.4,0.00,28.5
2020-01-09,3.4,0.70,37.0
2020-01-10,5.3,9.40,29.3
2020-01-11,1.2,33.40,40.9
2020-01-12,-0.4,0.50,23.9
2020-01-13,0.4,0.00,15.8
2020-01-14,1.8,0.00,21.7
2020-01-15,0.4,1.70,22.3
2020-01-16,-4.4,0.00,25.5
2020-01-17,-3.2,7.60,32.3
2020-01-18,-1.8,13.90,36.5
2020-01-19,-10.1,0.00,33.2
2020-01-20,-3.4,0.20,17.3
2020-01-21,-4.6,0.00,20.7
2020-01-22,-1.8,0.00,23.4
2020-01-23,0.2,5.60,18.5
2020-01-24,1.8,7.00,15.8
2020-01-25,0.7,6.60,22.8
2020-01-26,-0.3,0.00,18.8
2020-01-27,-0.3,0.00,13.7
2020-01-28,-0.4,0.00,9.2
2020-01-29,-0.6,0.00,7.0
2020-01-30,-0.3,0.00,8.3
2020-01-31,0.4,0.20,9.5
2020-02-01,1.0,0.70,24.9
2020-02-02,5.2,0.00,32.2
2020-02-03,2.4,0.00,21.3
2020-02-04,1.2,0.00,33.9
2020-02-05,-1.4,2.10,22.7
2020-02-06,-1.6,3.10,23.8
2020-02-07,-1.0,0.50,15.0
2020-02-08,-1.9,0.00,12.0
2020-02-09,-0.9,4.50,29.6
2020-02-10,-0.9,0.00,20.0
2020-02-11,-1.3,0.00,26.2
2020-02-12,-1.3,5.20,17.3
2020-02-13,-5.7,3.40,27.6
2020-02-14,-13.0,0.00,21.3
2020-02-15,-4.3,0.00,29.5
2020-02-16,-2.0,0.00,15.6
2020-02-17,0.5,5.20,22.4
2020-02-18,1.4,0.80,25.0
2020-02-19,-4.2,0.00,18.8
2020-02-20,-6.8,0.00,21.0
2020-02-21,-4.0,0.00,26.2
2020-02-22,1.7,0.00,24.8
2020-02-23,3.9,0.00,21.7
2020-02-24,1.8,2.90,18.7
2020-02-25,1.4,4.70,31.4
2020-02-26,-0.7,2.60,29.7
2020-02-27,-2.4,0.00,25.7
2020-02-28,-4.1,0.00,20.8
2020-02-29,-2.8,0.00,18.9
2020-03-01,4.4,0.00,27.1
2020-03-02,2.9,0.50,18.3
2020-03-03,2.6,1.30,30.6
2020-03-04,2.2,0.80,17.3
2020-03-05,4.1,0.80,30.8
2020-03-06,0.8,0.00,33.7
2020-03-07,2.4,0.00,25.7
2020-03-08,7.7,0.00,31.1
2020-03-09,9.4,18.00,32.0
2020-03-10,3.1,3.70,26.6
2020-03-11,3.4,0.00,11.9
2020-03-12,6.6,0.40,27.5
2020-03-13,4.4,0.00,29.1
2020-03-14,1.6,3.00,19.9
2020-03-15,1.0,0.00,20.7
2020-03-16,2.2,1.10,11.5
2020-03-17,2.8,0.00,16.4
2020-03-18,3.6,9.70,14.3
2020-03-19,7.3,6.20,27.4
2020-03-20,4.5,10.30,28.1
2020-03-21,-1.6,0.00,24.9
2020-03-22,0.2,5.20,18.8
2020-03-23,1.9,1.50,9.4
2020-03-24,2.5,0.00,15.9
2020-03-25,5.7,0.00,22.3
2020-03-26,5.8,1.20,21.6
2020-03-27,5.1,8.40,19.4
2020-03-28,9.6,30.60,29.5
2020-03-29,9.2,9.00,42.1
2020-03-30,5.3,0.00,29.0
2020-03-31,2.7,0.00,19.4
2020-04-01,3.6,0.00,14.4
2020-04-02,4.4,0.00,12.8
2020-04-03,8.8,0.00,12.6
2020-04-04,5.0,4.20,18.2
2020-04-05,3.3,0.00,17.3
2020-04-06,7.6,5.30,13.5
2020-04-07,14.5,20.90,22.9
2020-04-08,8.2,3.20,19.7
2020-04-09,6.2,0.70,37.2
2020-04-10,4.3,0.00,23.6
2020-04-11,9.2,2.80,19.5
2020-04-12,11.3,1.70,20.3
2020-04-13,5.2,3.90,33.5
2020-04-14,2.1,0.70,29.2
2020-04-15,0.9,1.60,16.9
2020-04-16,2.6,0.00,14.3
2020-04-17,2.4,8.30,18.6
2020-04-18,6.5,0.00,31.1
2020-04-19,7.5,0.20,26.9
2020-04-20,8.3,0.00,28.4
2020-04-21,5.8,0.00,25.5
2020-04-22,8.2,4.40,19.1
2020-04-23,8.3,2.90,17.4
2020-04-24,5.6,1.90,16.9
2020-04-25,5.9,28.50,26.8
2020-04-26,7.0,0.50,22.7
2020-04-27,10.1,6.70,26.3
2020-04-28,14.3,15.10,19.8
2020-04-29,10.7,40.70,28.1
2020-04-30,6.4,8.40,37.2
2020-05-01,8.9,0.00,15.7
2020-05-02,15.6,0.20,23.0
2020-05-03,14.3,0.00,27.9
2020-05-04,5.3,0.00,25.9
2020-05-05,6.7,4.20,17.1
2020-05-06,7.8,0.00,16.4
2020-05-07,9.9,0.00,19.6
2020-05-08,3.7,0.00,31.7
2020-05-09,6.4,0.00,21.8
2020-05-10,7.5,5.00,27.0
2020-05-11,5.5,0.00,16.1
2020-05-12,7.9,0.00,17.0
2020-05-13,10.9,0.00,19.9
2020-05-14,14.9,5.10,27.6
2020-05-15,15.7,18.60,28.4
2020-05-16,10.1,0.80,19.2
2020-05-17,14.2,64.70,28.7
2020-05-18,12.4,0.70,14.8
2020-05-19,11.7,1.00,24.5
2020-05-20,12.4,0.00,20.6
2020-05-21,12.8,0.00,15.2
2020-05-22,13.4,0.30,12.9
2020-05-23,16.3,17.00,21.4
2020-05-24,20.1,0.00,19.7
2020-05-25,21.1,0.60,17.6
2020-05-26,20.9,0.00,16.1
2020-05-27,19.6,1.00,12.7
2020-05-28,19.0,9.50,16.1
2020-05-29,15.8,4.10,17.3
2020-05-30,13.6,0.20,14.5
2020-05-31,12.0,0.00,17.3
2020-06-01,16.3,0.00,24.4
2020-06-02,22.3,0.00,24.5
2020-06-03,21.9,4.00,19.5
2020-06-04,21.6,0.60,14.5
2020-06-05,22.9,0.00,12.4
2020-06-06,15.8,0.00,17.6
2020-06-07,16.6,0.00,15.9
2020-06-08,21.5,0.00,17.8
2020-06-09,22.3,22.90,36.6
2020-06-10,21.3,3.30,36.2
2020-06-11,20.0,0.00,23.0
2020-06-12,17.5,0.00,21.8
2020-06-13,14.1,1.30,22.5
2020-06-14,14.7,0.00,17.6
2020-06-15,15.8,0.00,15.7
2020-06-16,18.7,0.00,15.0
2020-06-17,20.2,0.00,14.3
2020-06-18,20.7,0.00,15.1
2020-06-19,23.1,0.00,7.8
2020-06-20,23.9,6.90,22.7
2020-06-21,21.5,3.10,14.9
2020-06-22,22.7,13.50,14.5
2020-06-23,20.1,4.50,18.8
2020-06-24,19.7,1.10,11.2
2020-06-25,20.9,0.20,10.4
2020-06-26,22.8,15.20,23.9
2020-06-27,23.1,4.60,18.7
2020-06-28,22.9,0.10,14.2
2020-06-29,24.7,1.10,14.7
2020-06-30,23.5,9.40,12.8
2020-07-01,23.3,0.00,17.5
