time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,6.7,0.00,17.7
2020-01-02,7.5,20.50,17.2
2020-01-03,16.5,11.30,19.8
2020-01-04,11.7,2.40,31.0
2020-01-05,4.9,0.00,20.6
2020-01-06,8.2,0.00,12.9
2020-01-07,9.8,1.40,24.8
2020-01-08,7.3,0.00,15.5
2020-01-09,8.3,0.00,19.4
2020-01-10,14.0,0.20,18.9
2020-01-11,18.0,11.60,29.5
2020-01-12,15.3,1.70,20.3
2020-01-13,16.2,16.70,9.3
2020-01-14,17.4,15.60,13.1
2020-01-15,17.1,0.00,13.8
2020-01-16,16.2,0.20,20.5
2020-01-17,8.3,0.00,19.2
2020-01-18,8.7,3.20,18.1
2020-01-19,7.8,2.50,25.8
2020-01-20,0.5,0.00,20.2
2020-01-21,0.3,0.00,13.0
2020-01-22,1.0,0.00,16.9
2020-01-23,5.4,2.50,20.2
2020-01-24,8.6,18.60,20.5
2020-01-25,5.5,0.00,18.8
2020-01-26,5.8,0.00,13.5
2020-01-27,8.0,0.50,17.4
2020-01-28,7.3,0.00,14.8
2020-01-29,7.0,0.00,11.9
2020-01-30,7.1,0.00,10.1
2020-01-31,5.1,3.20,19.9
2020-02-01,6.0,0.00,18.0
2020-02-02,8.5,0.00,20.7
2020-02-03,11.5,0.00,14.8
2020-02-04,14.6,2.30,17.5
2020-02-05,16.5,18.00,23.8
2020-02-06,17.3,69.10,29.9
2020-02-07,5.6,1.30,29.7
2020-02-08,2.8,4.40,9.3
2020-02-09,5.1,0.00,14.7
2020-02-10,10.1,17.90,15.9
2020-02-11,17.3,14.50,26.7
2020-02-12,15.3,0.50,21.3
2020-02-13,15.3,24.60,25.3
2020-02-14,6.5,0.00,19.9
2020-02-15,5.2,0.00,16.7
2020-02-16,6.5,7.20,11.7
2020-02-17,8.6,0.00,12.0
2020-02-18,13.0,38.70,12.1
2020-02-19,12.8,5.10,15.4
2020-02-20,6.1,24.20,19.8
2020-02-21,4.6,0.10,14.6
2020-02-22,5.1,0.00,9.8
2020-02-23,6.4,0.10,9.5
2020-02-24,8.2,28.80,17.5
2020-02-25,14.8,7.30,19.1
2020-02-26,10.0,0.00,22.9
2020-02-27,4.4,0.00,26.3
2020-02-28,5.1,0.30,29.5
2020-02-29,5.7,0.40,26.7
2020-03-01,7.9,0.00,13.0
2020-03-02,10.6,12.10,14.1
2020-03-03,16.1,9.00,25.8
2020-03-04,13.5,16.20,10.9
2020-03-05,10.2,35.30,19.4
2020-03-06,8.6,0.00,31.4
2020-03-07,6.5,0.00,17.3
2020-03-08,7.9,0.00,13.2
2020-03-09,11.3,0.00,18.7
2020-03-10,14.0,4.40,17.2
2020-03-11,15.4,3.20,18.3
2020-03-12,17.3,4.70,18.5
