time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,11.8,0.00,9.9
2020-01-02,16.0,0.00,11.9
2020-01-03,21.0,0.00,21.6
2020-01-04,20.5,7.60,27.2
2020-01-05,10.7,0.00,25.0
2020-01-06,10.8,0.00,8.7
2020-01-07,12.5,0.00,22.1
2020-01-08,10.6,0.00,11.2
2020-01-09,14.4,0.00,20.6
2020-01-10,19.6,0.20,22.4
2020-01-11,21.4,0.70,25.8
2020-01-12,21.9,0.00,16.5
2020-01-13,22.1,0.00,12.9
2020-01-14,21.0,0.00,10.3
2020-01-15,20.7,0.00,10.5
2020-01-16,20.1,0.00,14.5
2020-01-17,16.9,0.00,26.7
2020-01-18,18.5,0.00,19.5
2020-01-19,17.4,7.00,21.8
2020-01-20,8.9,0.00,17.6
2020-01-21,5.4,0.00,21.7
2020-01-22,6.5,0.00,21.6
2020-01-23,14.1,0.00,18.0
2020-01-24,17.5,0.60,15.3
2020-01-25,14.0,0.00,13.8
2020-01-26,11.6,0.00,9.4
2020-01-27,13.3,0.00,7.9
2020-01-28,11.6,0.00,10.6
2020-01-29,12.0,3.10,12.3
2020-01-30,12.8,0.40,19.4
2020-01-31,15.4,1.70,15.1
2020-02-01,11.1,0.50,17.2
2020-02-02,11.2,0.00,17.4
2020-02-03,13.7,0.00,13.8
2020-02-04,14.3,0.00,8.6
2020-02-05,17.9,0.00,17.2
2020-02-06,21.8,1.70,34.3
2020-02-07,14.0,9.20,34.6
2020-02-08,11.0,0.00,10.9
2020-02-09,13.0,0.00,16.6
2020-02-10,18.3,0.00,17.1
2020-02-11,21.7,0.00,17.3
2020-02-12,21.8,0.00,12.8
2020-02-13,22.7,0.10,25.7
2020-02-14,15.4,4.30,17.9
2020-02-15,14.4,0.00,20.8
2020-02-16,17.7,6.50,13.5
2020-02-17,16.6,0.80,9.7
2020-02-18,19.9,1.00,13.0
2020-02-19,20.9,0.00,15.7
2020-02-20,17.0,2.30,18.3
2020-02-21,8.2,3.30,24.1
2020-02-22,8.8,0.00,21.6
2020-02-23,12.7,0.00,9.7
2020-02-24,17.5,0.00,16.2
2020-02-25,19.0,44.30,17.1
2020-02-26,18.1,16.40,17.4
2020-02-27,10.6,0.20,20.1
2020-02-28,9.1,0.00,15.4
2020-02-29,11.0,0.00,25.6
2020-03-01,11.7,0.00,11.4
