time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,4.9,0.00,14.2
2020-01-02,4.5,0.00,15.7
2020-01-03,9.3,10.20,16.4
2020-01-04,10.7,12.00,20.6
2020-01-05,3.3,0.30,25.5
2020-01-06,4.1,0.00,14.9
2020-01-07,1.0,7.80,15.9
2020-01-08,0.9,0.00,26.6
2020-01-09,-1.3,0.00,14.2
2020-01-10,6.2,0.00,17.4
2020-01-11,15.5,0.00,24.5
2020-01-12,15.7,2.00,32.5
2020-01-13,9.1,0.00,9.7
2020-01-14,7.1,1.20,10.6
2020-01-15,8.8,0.00,15.3
2020-01-16,8.0,0.00,25.7
2020-01-17,0.1,0.00,23.2
2020-01-18,0.3,5.00,22.9
2020-01-19,2.6,0.50,22.2
2020-01-20,-2.5,0.00,21.6
2020-01-21,-2.6,0.00,16.0
2020-01-22,-1.4,0.00,12.2
2020-01-23,0.2,0.00,7.5
2020-01-24,3.9,0.00,19.4
2020-01-25,7.5,18.90,22.8
2020-01-26,3.6,0.00,14.9
2020-01-27,3.4,0.00,16.7
2020-01-28,3.5,0.00,18.8
2020-01-29,2.8,0.00,12.8
2020-01-30,0.2,0.00,9.7
2020-01-31,1.6,1.20,6.5
2020-02-01,2.7,2.60,8.5
2020-02-02,4.7,0.00,19.7
2020-02-03,11.3,0.00,17.0
2020-02-04,12.9,0.40,16.4
2020-02-05,6.8,10.30,17.7
2020-02-06,5.7,42.00,12.8
2020-02-07,8.1,12.40,26.2
2020-02-08,2.2,0.00,17.9
2020-02-09,3.4,0.00,16.8
2020-02-10,6.5,9.90,21.9
2020-02-11,9.9,10.00,14.8
2020-02-12,5.8,1.80,17.7
2020-02-13,8.1,4.50,21.5
2020-02-14,1.2,0.00,19.5
2020-02-15,-1.8,0.00,14.0
2020-02-16,2.3,0.00,13.9
2020-02-17,4.7,0.00,11.3
2020-02-18,7.5,0.90,14.9
2020-02-19,6.1,1.20,18.7
2020-02-20,1.7,0.00,14.8
2020-02-21,-0.8,0.00,18.4
2020-02-22,2.3,0.00,12.2
2020-02-23,4.6,0.00,10.3
2020-02-24,6.7,0.00,13.5
2020-02-25,8.3,5.30,12.8
2020-02-26,9.1,5.50,14.9
2020-02-27,3.5,3.40,29.0
2020-02-28,2.2,0.30,18.9
2020-02-29,0.2,0.00,24.0
2020-03-01,2.2,0.00,14.2
2020-03-02,8.4,1.40,21.3
2020-03-03,10.9,0.80,21.4
