time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,1.6,0.00,22.9
2020-01-02,5.3,0.40,19.0
2020-01-03,9.2,22.50,11.4
2020-01-04,4.2,3.30,18.1
2020-01-05,1.8,0.00,22.1
2020-01-06,2.7,0.00,21.8
2020-01-07,1.9,0.00,17.5
2020-01-08,-0.6,0.00,25.7
2020-01-09,1.3,0.00,25.0
2020-01-10,11.1,15.20,25.4
2020-01-11,15.8,29.00,35.8
2020-01-12,5.6,2.10,35.9
2020-01-13,3.9,0.00,10.9
2020-01-14,6.1,0.00,21.7
2020-01-15,5.2,0.70,20.8
2020-01-16,1.2,0.00,26.0
2020-01-17,-2.8,0.10,18.9
2020-01-18,2.5,22.30,34.9
2020-01-19,-7.2,0.00,29.3
2020-01-20,-6.5,0.00,11.8
2020-01-21,-5.9,0.00,8.0
2020-01-22,-3.6,0.00,13.0
2020-01-23,1.0,0.00,12.2
2020-01-24,4.8,16.00,20.9
2020-01-25,2.6,3.60,23.5
2020-01-26,0.8,0.40,19.3
2020-01-27,0.9,0.00,12.3
2020-01-28,1.1,0.00,10.3
2020-01-29,0.3,0.00,7.9
2020-01-30,0.2,0.00,8.7
2020-01-31,0.6,0.80,9.3
2020-02-01,1.5,1.30,19.8
2020-02-02,6.3,0.00,30.7
2020-02-03,9.0,0.00,24.1
2020-02-04,9.7,14.00,24.4
2020-02-05,0.6,4.60,22.1
2020-02-06,-0.4,2.80,15.2
2020-02-07,-1.5,2.80,27.6
2020-02-08,-1.7,1.00,15.2
2020-02-09,-0.4,3.30,22.6
2020-02-10,5.1,10.80,25.9
2020-02-11,2.2,0.70,16.2
2020-02-12,0.3,14.80,13.9
2020-02-13,0.4,4.40,22.0
2020-02-14,-7.2,0.00,21.1
2020-02-15,-5.0,0.00,21.3
2020-02-16,1.6,0.00,14.9
2020-02-17,2.0,0.10,16.4
2020-02-18,7.4,3.30,22.8
2020-02-19,-0.4,0.00,15.3
2020-02-20,-3.2,0.00,17.4
2020-02-21,-4.1,0.00,12.2
2020-02-22,0.0,0.00,18.4
2020-02-23,2.3,0.00,18.5
2020-02-24,3.3,7.80,13.7
2020-02-25,4.8,7.80,13.3
2020-02-26,2.0,6.30,22.6
2020-02-27,-2.7,1.20,32.8
2020-02-28,-2.8,0.50,24.7
2020-02-29,-3.7,0.00,19.0
2020-03-01,1.9,0.00,20.7
2020-03-02,8.7,6.10,22.9
2020-03-03,9.8,10.70,28.1
2020-03-04,6.6,0.50,23.3
2020-03-05,4.3,0.00,14.9
2020-03-06,3.1,2.40,31.1
2020-03-07,1.4,0.00,20.8
2020-03-08,5.9,0.00,18.4
2020-03-09,11.9,0.00,22.4
2020-03-10,11.6,10.90,27.7
2020-03-11,8.0,0.10,13.3
2020-03-12,10.8,6.30,18.9
2020-03-13,9.5,5.20,24.3
2020-03-14,2.4,6.30,15.6
2020-03-15,3.1,0.00,17.1
2020-03-16,5.2,0.80,11.5
2020-03-17,6.6,0.40,13.9
2020-03-18,6.6,23.30,15.6
2020-03-19,13.0,16.00,28.7
2020-03-20,15.3,11.30,28.9
2020-03-21,1.8,0.00,21.0
2020-03-22,2.3,1.50,13.5
2020-03-23,7.2,5.40,15.4
2020-03-24,6.7,0.10,14.3
2020-03-25,9.2,1.50,14.4
2020-03-26,11.8,6.90,15.3
2020-03-27,12.3,8.80,16.2
2020-03-28,17.0,7.10,18.5
2020-03-29,17.5,9.60,39.6
2020-03-30,9.3,0.00,27.1
2020-03-31,5.5,0.00,11.6
2020-04-01,6.7,0.80,19.4
2020-04-02,7.8,0.00,17.9
