time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,12.7,2.10,17.3
2020-01-02,16.7,15.10,16.7
2020-01-03,14.2,0.00,18.2
2020-01-04,12.2,0.00,19.1
2020-01-05,13.4,0.00,16.0
2020-01-06,15.9,0.00,15.9
2020-01-07,13.2,0.00,17.7
2020-01-08,11.9,0.00,25.6
2020-01-09,19.4,1.20,30.8
2020-01-10,21.0,9.50,33.5
2020-01-11,13.2,26.60,37.2
2020-01-12,9.2,0.00,11.1
2020-01-13,14.2,3.80,13.7
2020-01-14,21.4,10.20,21.1
2020-01-15,21.7,0.20,16.3
2020-01-16,20.7,1.40,14.6
2020-01-17,19.1,1.50,19.1
2020-01-18,19.5,16.90,20.2
2020-01-19,11.0,0.00,24.7
2020-01-20,9.1,0.00,14.0
2020-01-21,8.3,0.00,16.2
2020-01-22,10.9,21.10,25.6
2020-01-23,14.9,15.50,20.4
2020-01-24,11.5,0.00,10.2
2020-01-25,12.5,0.70,21.2
2020-01-26,17.7,8.90,17.3
2020-01-27,13.3,0.00,15.3
2020-01-28,14.5,14.40,25.2
2020-01-29,10.4,0.00,22.0
2020-01-30,10.6,0.20,12.5
2020-01-31,11.2,0.00,11.3
2020-02-01,10.8,0.00,13.7
2020-02-02,14.0,0.00,15.6
2020-02-03,18.2,1.10,29.4
2020-02-04,21.5,1.40,27.5
2020-02-05,11.3,2.40,24.0
2020-02-06,5.8,1.90,26.7
2020-02-07,10.8,0.00,21.6
2020-02-08,13.8,0.10,15.5
2020-02-09,19.2,1.40,28.4
2020-02-10,21.2,10.70,18.4
2020-02-11,13.0,4.40,15.8
2020-02-12,13.8,10.80,19.5
2020-02-13,10.0,0.00,21.0
2020-02-14,8.7,0.00,15.0
2020-02-15,12.6,0.00,17.0
2020-02-16,17.1,0.10,15.7
2020-02-17,20.1,0.60,20.5
2020-02-18,21.7,0.20,16.2
2020-02-19,14.3,1.60,19.8
2020-02-20,9.6,4.70,26.8
2020-02-21,8.2,0.00,23.3
2020-02-22,9.3,0.00,15.0
2020-02-23,15.2,0.10,19.7
2020-02-24,18.6,9.50,20.4
2020-02-25,15.2,0.00,22.6
2020-02-26,9.8,0.00,34.5
2020-02-27,7.1,0.00,13.7
2020-02-28,11.4,0.00,16.6
2020-02-29,13.5,0.00,21.7
2020-03-01,18.6,0.80,23.5
2020-03-02,20.9,0.00,20.7
2020-03-03,21.7,0.90,13.3
2020-03-04,19.2,11.70,24.0
2020-03-05,15.2,0.20,21.7
2020-03-06,14.5,0.00,18.4
2020-03-07,12.3,0.00,15.2
2020-03-08,15.3,0.00,23.7
2020-03-09,18.5,3.10,20.9
2020-03-10,20.0,3.50,14.5
2020-03-11,20.6,0.00,16.7
2020-03-12,21.9,0.00,21.7
2020-03-13,22.4,0.70,22.4
2020-03-14,22.7,0.10,20.2
2020-03-15,22.3,1.20,15.6
2020-03-16,20.6,1.00,15.6
2020-03-17,21.8,5.90,17.6
2020-03-18,23.0,0.50,22.5
2020-03-19,24.3,0.00,28.9
2020-03-20,21.1,10.70,21.8
2020-03-21,15.8,3.70,19.1
2020-03-22,20.2,1.60,18.2
2020-03-23,23.2,1.70,20.5
2020-03-24,24.5,0.10,26.2
2020-03-25,23.3,0.00,15.0
2020-03-26,23.4,0.00,22.1
2020-03-27,24.6,0.00,26.2
2020-03-28,23.1,1.20,25.2
2020-03-29,20.0,0.00,16.1
2020-03-30,22.6,1.60,26.1
2020-03-31,20.9,0.10,23.1
2020-04-01,17.1,0.00,18.0
2020-04-02,20.0,0.80,23.6
2020-04-03,21.5,2.20,16.8
2020-04-04,17.4,14.80,20.9
2020-04-05,18.7,0.00,17.8
2020-04-06,20.8,10.30,16.1
2020-04-07,24.5,0.70,11.9
2020-04-08,24.8,0.00,17.1
2020-04-09,24.8,19.50,21.0
2020-04-10,20.8,1.10,21.3
2020-04-11,20.5,1.60,25.0
2020-04-12,25.0,1.00,26.8
2020-04-13,16.4,0.00,20.8
2020-04-14,15.2,0.00,19.1
2020-04-15,14.6,0.00,17.4
2020-04-16,16.5,0.00,20.4
2020-04-17,21.6,10.30,14.8
