time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,3.2,0.00,12.8
2020-01-02,4.2,0.00,12.2
2020-01-03,9.3,6.80,12.4
2020-01-04,9.5,7.00,18.9
2020-01-05,1.8,0.00,21.8
2020-01-06,3.1,0.00,11.6
2020-01-07,-0.8,6.40,10.7
2020-01-08,-1.3,0.00,26.1
2020-01-09,-0.6,0.00,13.0
2020-01-10,5.7,0.00,14.1
2020-01-11,13.4,0.00,21.6
2020-01-12,13.2,7.20,25.3
2020-01-13,8.6,0.00,5.0
2020-01-14,7.4,1.60,8.4
2020-01-15,6.7,0.00,12.4
2020-01-16,6.3,0.00,24.8
2020-01-17,-0.7,0.00,21.5
2020-01-18,-0.4,6.10,20.5
2020-01-19,1.0,0.00,18.1
2020-01-20,-4.5,0.00,18.7
2020-01-21,-4.4,0.00,13.9
2020-01-22,-2.4,0.00,7.9
2020-01-23,-0.1,0.00,8.5
2020-01-24,1.5,2.70,17.8
2020-01-25,4.5,22.30,13.3
2020-01-26,1.7,0.00,12.4
2020-01-27,2.2,0.00,15.5
2020-01-28,1.9,0.00,14.8
2020-01-29,1.0,0.00,7.4
2020-01-30,-0.4,0.30,5.9
2020-01-31,0.8,0.90,8.6
2020-02-01,1.8,2.80,7.0
2020-02-02,5.7,0.00,25.2
2020-02-03,11.8,0.00,26.2
2020-02-04,12.3,1.40,15.0
2020-02-05,6.6,9.70,15.6
2020-02-06,7.0,29.30,13.8
2020-02-07,5.8,6.20,25.3
2020-02-08,1.2,0.40,14.6
2020-02-09,2.4,0.00,15.5
2020-02-10,6.0,4.90,17.4
2020-02-11,9.5,4.70,10.3
2020-02-12,4.3,1.50,12.9
2020-02-13,6.9,5.60,15.7
2020-02-14,0.3,0.00,15.8
2020-02-15,-2.5,0.00,12.8
2020-02-16,3.0,0.00,12.9
2020-02-17,4.0,0.00,9.4
2020-02-18,7.0,0.80,16.3
2020-02-19,4.7,1.30,13.8
2020-02-20,1.0,0.30,13.7
2020-02-21,-1.5,0.00,15.9
2020-02-22,1.4,0.00,7.0
2020-02-23,3.7,0.00,9.7
2020-02-24,5.4,0.00,11.4
2020-02-25,8.5,5.30,11.3
2020-02-26,9.0,8.50,17.1
2020-02-27,0.2,1.00,25.3
2020-02-28,0.7,0.20,19.9
2020-02-29,-1.7,0.00,20.9
2020-03-01,2.0,0.00,12.6
2020-03-02,7.1,2.20,21.8
2020-03-03,9.0,0.60,19.0
2020-03-04,9.2,0.00,17.0
2020-03-05,6.2,0.00,13.2
2020-03-06,4.6,0.90,25.5
2020-03-07,2.7,0.00,25.4
2020-03-08,5.6,0.00,13.1
2020-03-09,10.5,0.00,14.1
2020-03-10,12.9,0.20,29.8
2020-03-11,11.0,0.00,9.2
2020-03-12,10.8,0.00,16.0
2020-03-13,13.1,4.80,17.9
2020-03-14,7.7,2.80,12.9
2020-03-15,3.4,5.10,9.3
2020-03-16,4.8,0.00,11.7
2020-03-17,9.1,0.00,12.7
2020-03-18,7.2,2.30,13.0
2020-03-19,14.8,4.90,14.7
2020-03-20,18.3,0.40,22.4
2020-03-21,10.2,1.00,13.2
2020-03-22,5.7,0.20,12.7
2020-03-23,5.4,5.10,10.7
2020-03-24,8.5,1.10,10.9
2020-03-25,5.4,10.10,10.9
2020-03-26,9.2,0.00,15.1
2020-03-27,14.1,1.50,11.4
2020-03-28,15.6,0.00,12.4
