time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,2.1,0.00,21.9
2020-01-02,6.7,0.20,22.8
2020-01-03,8.3,8.30,10.4
2020-01-04,2.3,1.30,22.9
2020-01-05,2.3,0.00,25.4
2020-01-06,1.4,0.00,20.8
2020-01-07,1.8,0.00,22.5
2020-01-08,-1.2,0.00,19.2
2020-01-09,4.1,2.40,28.7
2020-01-10,11.2,27.30,23.3
2020-01-11,11.0,64.80,33.5
2020-01-12,1.7,1.60,19.2
2020-01-13,3.1,0.00,14.8
2020-01-14,4.9,0.00,14.4
2020-01-15,5.2,0.60,17.9
2020-01-16,-1.0,0.00,19.4
2020-01-17,-3.1,1.30,23.7
2020-01-18,2.1,22.50,30.5
2020-01-19,-9.9,0.00,30.7
2020-01-20,-5.8,0.00,13.4
2020-01-21,-3.2,0.00,10.1
2020-01-22,-2.7,0.00,14.3
2020-01-23,1.9,2.90,16.1
2020-01-24,4.5,5.00,18.8
2020-01-25,0.9,2.40,24.3
2020-01-26,0.7,0.00,19.3
2020-01-27,-0.7,0.00,11.5
2020-01-28,0.1,0.00,9.4
2020-01-29,0.4,0.00,11.1
2020-01-30,0.6,0.00,6.4
2020-01-31,1.9,0.50,6.5
2020-02-01,2.6,0.50,20.8
2020-02-02,6.9,0.00,27.2
2020-02-03,9.3,0.00,23.9
2020-02-04,7.8,8.90,23.3
2020-02-05,0.3,10.30,21.4
2020-02-06,-1.9,1.10,16.0
2020-02-07,-1.5,0.10,20.0
2020-02-08,-0.5,1.50,14.0
2020-02-09,-0.3,13.20,27.3
2020-02-10,3.2,13.60,17.7
2020-02-11,1.5,0.00,18.9
2020-02-12,0.2,13.30,14.0
2020-02-13,-1.9,3.60,26.2
2020-02-14,-11.0,0.00,20.1
2020-02-15,-5.1,0.00,23.4
2020-02-16,1.6,0.00,12.5
2020-02-17,1.7,6.90,18.4
2020-02-18,5.5,3.90,18.1
2020-02-19,-0.8,0.00,12.2
2020-02-20,-3.2,0.00,15.5
2020-02-21,-3.9,0.00,14.1
2020-02-22,0.5,0.00,17.8
2020-02-23,4.3,0.00,17.1
2020-02-24,4.1,11.50,15.7
2020-02-25,3.9,3.80,17.5
2020-02-26,-0.2,7.00,27.3
2020-02-27,-2.7,0.90,27.0
2020-02-28,-3.8,0.70,20.4
2020-02-29,-4.0,0.00,12.7
2020-03-01,3.9,0.00,22.0
2020-03-02,9.4,6.40,25.2
2020-03-03,8.1,7.70,34.6
2020-03-04,6.7,0.00,24.0
2020-03-05,5.6,0.00,20.6
2020-03-06,2.4,0.50,32.7
2020-03-07,1.4,0.00,11.9
2020-03-08,7.5,0.00,20.9
2020-03-09,12.0,5.60,31.4
2020-03-10,9.5,8.70,30.9
2020-03-11,7.4,1.30,11.9
2020-03-12,10.5,9.50,19.1
2020-03-13,7.5,0.00,25.5
2020-03-14,2.5,11.00,17.4
2020-03-15,1.2,0.00,18.6
2020-03-16,4.8,1.60,10.9
2020-03-17,6.6,0.00,14.3
2020-03-18,7.1,11.40,14.0
2020-03-19,12.8,13.30,28.9
2020-03-20,11.7,8.50,29.9
2020-03-21,0.4,0.00,18.0
2020-03-22,0.7,2.70,14.8
2020-03-23,5.0,0.00,12.9
2020-03-24,5.7,0.90,16.4
2020-03-25,8.1,0.00,12.1
2020-03-26,12.2,6.70,15.3
2020-03-27,13.3,14.90,15.5
2020-03-28,18.1,12.00,27.0
2020-03-29,15.2,6.40,42.8
2020-03-30,10.1,0.00,25.1
2020-03-31,5.2,0.00,15.2
2020-04-01,6.9,0.40,12.9
2020-04-02,8.6,0.00,8.4
2020-04-03,12.8,0.00,8.0
2020-04-04,11.2,5.50,15.5
2020-04-05,8.5,0.60,13.0
2020-04-06,12.2,0.20,14.5
2020-04-07,17.9,3.30,24.2
2020-04-08,19.0,15.10,25.3
2020-04-09,8.6,0.30,34.2
2020-04-10,5.1,0.00,23.2
2020-04-11,9.6,1.10,19.8
2020-04-12,12.0,3.70,21.6
2020-04-13,7.5,0.20,32.7
2020-04-14,3.8,0.00,25.7
2020-04-15,3.0,1.20,29.1
2020-04-16,3.1,0.20,21.3
2020-04-17,5.3,6.90,20.0
2020-04-18,6.1,0.00,16.6
2020-04-19,9.8,1.50,15.9
2020-04-20,10.4,0.80,20.1
2020-04-21,9.2,0.50,24.8
2020-04-22,10.9,0.00,19.8
2020-04-23,11.9,10.70,16.3
2020-04-24,13.2,0.10,13.1
2020-04-25,14.0,3.20,23.3
2020-04-26,10.6,5.30,27.9
2020-04-27,11.8,0.90,17.6
2020-04-28,17.4,0.00,23.2
2020-04-29,14.9,5.50,27.0
2020-04-30,8.1,1.50,30.3
2020-05-01,11.4,0.00,18.1
2020-05-02,18.3,0.40,21.2
2020-05-03,16.9,12.50,19.4
2020-05-04,13.1,0.30,16.0
2020-05-05,9.4,3.70,22.7
2020-05-06,8.9,0.00,20.3
2020-05-07,12.2,0.00,24.2
2020-05-08,9.1,5.00,30.4
2020-05-09,5.7,0.00,15.1
2020-05-10,9.3,5.40,33.6
2020-05-11,6.8,0.50,23.2
2020-05-12,9.4,0.00,12.3
2020-05-13,10.2,0.00,20.0
2020-05-14,17.9,0.70,22.4
2020-05-15,19.6,15.60,28.5
2020-05-16,19.5,1.00,14.8
2020-05-17,20.5,7.20,23.2
2020-05-18,17.8,19.50,21.3
2020-05-19,15.9,10.00,19.5
2020-05-20,14.3,0.00,20.7
2020-05-21,15.1,0.20,16.5
2020-05-22,18.0,0.10,8.8
2020-05-23,21.0,2.80,15.3
2020-05-24,23.2,0.10,16.1
2020-05-25,24.2,0.30,11.5
2020-05-26,23.9,0.00,13.6
2020-05-27,22.4,3.90,20.0
2020-05-28,21.3,18.10,13.1
2020-05-29,20.0,8.90,16.5
2020-05-30,17.4,0.00,15.0
2020-05-31,16.3,0.00,11.8
2020-06-01,17.2,0.00,12.6
2020-06-02,22.9,0.00,21.9
2020-06-03,24.0,3.10,17.9
2020-06-04,23.4,1.70,14.5
2020-06-05,24.8,0.20,10.5
2020-06-06,25.0,0.00,16.6
2020-06-07,21.7,0.00,15.9
2020-06-08,23.1,0.00,18.5
2020-06-09,25.0,10.20,32.8
2020-06-10,25.5,1.60,36.2
2020-06-11,21.1,0.00,24.1
2020-06-12,22.4,0.00,11.0
2020-06-13,20.1,0.10,15.3
2020-06-14,18.4,0.00,16.9
2020-06-15,19.0,0.00,16.0
2020-06-16,22.3,0.00,15.1
2020-06-17,23.5,0.00,11.3
2020-06-18,24.7,0.00,10.7
2020-06-19,26.0,0.00,7.3
2020-06-20,27.7,0.00,14.1
2020-06-21,23.4,7.50,9.1
2020-06-22,23.9,3.20,16.3
2020-06-23,22.3,6.80,23.8
2020-06-24,21.6,0.00,12.8
2020-06-25,22.9,0.00,12.8
2020-06-26,25.3,0.10,24.4
2020-06-27,24.7,8.90,21.7
2020-06-28,23.4,12.90,8.0
2020-06-29,25.5,5.00,9.2
2020-06-30,25.4,6.00,10.5
2020-07-01,26.0,0.30,10.8
2020-07-02,26.7,0.00,13.2
2020-07-03,27.3,0.00,10.0
2020-07-04,27.9,0.00,14.6
2020-07-05,27.8,1.20,6.8
2020-07-06,28.0,2.80,7.2
2020-07-07,28.0,3.00,7.4
2020-07-08,27.8,3.60,6.8
2020-07-09,28.0,0.70,11.6
2020-07-10,26.6,5.10,30.6
2020-07-11,25.7,3.30,19.4
2020-07-12,23.0,10.50,15.9
2020-07-13,22.6,0.00,14.3
2020-07-14,24.4,0.00,9.7
2020-07-15,26.2,0.00,17.5
2020-07-16,25.4,2.00,25.1
2020-07-17,26.3,0.00,8.6
2020-07-18,27.8,0.00,16.1
2020-07-19,28.7,0.50,23.7
2020-07-20,26.2,0.40,13.0
2020-07-21,26.1,1.30,11.8
2020-07-22,24.5,25.00,18.5
2020-07-23,25.4,0.10,12.7
2020-07-24,24.5,0.00,8.7
2020-07-25,25.4,0.00,6.1
2020-07-26,26.8,0.00,11.4
2020-07-27,26.2,14.30,19.4
2020-07-28,25.2,0.10,11.2
2020-07-29,26.2,0.00,8.1
2020-07-30,23.2,18.70,15.2
2020-07-31,22.8,2.20,16.0
2020-08-01,21.3,19.60,14.3
2020-08-02,22.2,3.30,16.7
2020-08-03,21.8,5.00,9.2
2020-08-04,19.6,0.20,16.0
2020-08-05,18.5,0.00,9.2
2020-08-06,20.0,0.00,9.9
2020-08-07,20.9,0.00,12.7
2020-08-08,22.4,0.00,8.8
2020-08-09,24.9,0.00,16.1
2020-08-10,24.9,6.30,16.2
2020-08-11,24.3,0.00,21.1
2020-08-12,24.5,0.00,9.5
2020-08-13,24.8,0.00,12.7
2020-08-14,25.4,0.10,11.1
2020-08-15,25.5,0.00,7.0
2020-08-16,24.6,0.00,19.8
2020-08-17,24.5,0.00,11.4
2020-08-18,22.7,1.70,17.7
2020-08-19,21.1,0.00,11.9
2020-08-20,21.8,0.00,9.1
2020-08-21,23.0,0.00,10.0
2020-08-22,24.1,0.00,6.9
2020-08-23,25.4,0.00,10.2
2020-08-24,26.5,1.30,14.8
2020-08-25,28.3,0.30,10.5
2020-08-26,27.9,0.00,15.3
2020-08-27,27.0,0.00,18.1
2020-08-28,26.4,0.70,15.2
2020-08-29,25.3,0.00,19.2
2020-08-30,22.0,0.00,10.5
2020-08-31,23.2,0.00,11.5
2020-09-01,24.7,1.10,14.2
2020-09-02,24.4,6.40,19.1
2020-09-03,25.3,0.00,21.3
2020-09-04,21.5,0.00,17.5
2020-09-05,21.7,0.00,19.7
2020-09-06,22.2,0.00,25.9
2020-09-07,24.7,1.00,27.6
2020-09-08,25.6,0.00,13.8
2020-09-09,25.7,0.00,9.4
2020-09-10,23.6,0.00,14.9
2020-09-11,22.2,0.00,13.7
2020-09-12,23.4,0.10,14.3
2020-09-13,22.8,7.50,13.8
2020-09-14,20.0,0.00,14.6
2020-09-15,19.0,0.00,12.8
2020-09-16,19.4,0.00,8.1
2020-09-17,19.2,0.00,19.0
2020-09-18,15.5,0.00,20.0
2020-09-19,13.8,0.00,12.8
2020-09-20,15.7,0.00,16.9
2020-09-21,17.3,0.00,13.1
2020-09-22,18.4,0.00,8.4
