time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,2.7,0.00,30.3
2020-01-02,3.8,0.00,19.1
2020-01-03,6.6,5.90,13.9
2020-01-04,7.7,6.70,23.2
2020-01-05,3.1,1.20,38.3
2020-01-06,3.2,0.30,24.5
2020-01-07,3.3,1.30,24.1
2020-01-08,1.6,0.00,35.7
2020-01-09,-1.6,0.00,32.6
2020-01-10,6.0,0.00,23.2
2020-01-11,12.1,0.10,35.5
2020-01-12,13.6,6.70,47.0
2020-01-13,6.0,0.00,20.6
2020-01-14,4.9,4.30,14.6
2020-01-15,6.4,0.00,19.2
2020-01-16,6.1,3.20,37.4
2020-01-17,-2.5,0.00,37.4
2020-01-18,-1.7,11.40,28.5
2020-01-19,3.6,1.20,27.3
2020-01-20,-3.3,0.00,30.7
2020-01-21,-2.9,0.00,20.4
2020-01-22,-0.9,0.00,11.2
2020-01-23,1.4,0.00,9.7
2020-01-24,3.8,0.00,21.2
2020-01-25,6.7,20.50,39.8
2020-01-26,4.3,0.00,21.3
2020-01-27,3.6,0.00,22.8
2020-01-28,2.8,0.00,22.6
2020-01-29,1.2,0.00,18.4
2020-01-30,0.0,0.00,17.7
2020-01-31,3.2,0.40,10.7
2020-02-01,3.3,0.30,10.3
2020-02-02,2.9,2.00,18.1
2020-02-03,5.4,0.10,16.1
2020-02-04,7.8,1.40,14.5
2020-02-05,4.7,5.40,23.0
2020-02-06,4.9,21.70,21.7
2020-02-07,5.9,18.90,53.0
2020-02-08,1.5,0.00,30.5
2020-02-09,3.3,0.00,19.6
2020-02-10,5.8,10.50,28.5
2020-02-11,6.1,17.10,17.1
2020-02-12,4.1,0.20,22.6
2020-02-13,4.6,20.10,24.1
2020-02-14,-0.7,0.00,28.4
2020-02-15,-4.4,0.00,24.7
2020-02-16,2.1,0.00,25.7
2020-02-17,3.9,0.00,13.0
2020-02-18,5.4,3.00,21.7
2020-02-19,4.8,0.60,23.9
2020-02-20,0.3,0.00,25.8
2020-02-21,-2.1,0.00,26.8
2020-02-22,2.4,0.00,21.9
2020-02-23,4.5,0.00,18.4
2020-02-24,6.0,0.00,17.2
2020-02-25,6.8,6.80,17.0
2020-02-26,6.5,0.20,24.9
2020-02-27,4.8,15.00,42.7
2020-02-28,1.4,0.00,37.2
2020-02-29,-0.1,0.00,29.3
2020-03-01,0.3,0.00,28.5
2020-03-02,6.5,0.00,30.0
2020-03-03,8.8,8.90,27.2
2020-03-04,8.4,2.80,32.1
2020-03-05,5.5,0.00,22.5
2020-03-06,4.9,4.30,24.2
2020-03-07,3.2,0.20,34.4
2020-03-08,5.5,0.00,22.0
2020-03-09,9.7,0.00,22.2
2020-03-10,11.6,1.40,29.8
2020-03-11,8.0,0.00,24.7
2020-03-12,5.9,0.10,22.0
2020-03-13,11.7,13.50,30.5
2020-03-14,7.8,0.00,24.0
2020-03-15,6.3,0.10,17.0
2020-03-16,3.5,0.00,24.1
2020-03-17,7.1,5.10,18.4
2020-03-18,6.6,0.00,18.7
2020-03-19,7.8,18.10,22.9
2020-03-20,13.5,2.90,27.2
2020-03-21,8.2,0.00,26.9
2020-03-22,3.1,0.00,24.5
2020-03-23,4.2,21.40,34.9
2020-03-24,6.1,0.00,27.2
2020-03-25,5.8,0.10,29.5
2020-03-26,6.4,0.00,21.6
2020-03-27,11.1,0.00,22.0
2020-03-28,8.4,7.00,27.3
2020-03-29,9.3,3.80,26.8
2020-03-30,8.0,1.90,16.5
2020-03-31,5.8,0.60,19.5
2020-04-01,6.3,0.00,23.2
2020-04-02,8.1,0.00,31.1
2020-04-03,7.4,7.00,31.9
2020-04-04,8.1,0.30,25.6
2020-04-05,9.3,0.00,15.6
2020-04-06,10.6,0.30,14.3
2020-04-07,10.6,0.50,21.3
2020-04-08,11.0,6.70,16.6
2020-04-09,9.6,14.20,36.8
2020-04-10,6.7,1.30,41.7
2020-04-11,7.3,0.00,28.6
2020-04-12,9.2,0.00,32.5
2020-04-13,13.6,47.60,56.9
2020-04-14,9.8,0.70,28.9
2020-04-15,7.8,3.00,23.5
2020-04-16,6.9,0.10,30.8
2020-04-17,6.0,2.10,25.3
2020-04-18,6.8,9.30,26.2
2020-04-19,9.0,0.00,30.2
2020-04-20,9.8,0.00,22.4
2020-04-21,9.2,8.10,38.6
2020-04-22,5.8,0.00,34.3
2020-04-23,6.2,0.60,13.3
2020-04-24,7.8,20.80,26.0
2020-04-25,8.5,0.00,17.2
2020-04-26,8.3,8.20,37.0
2020-04-27,6.5,0.90,29.6
2020-04-28,9.2,0.00,21.5
2020-04-29,9.5,0.40,29.9
2020-04-30,12.3,22.80,41.7
2020-05-01,13.3,23.90,33.4
2020-05-02,14.4,0.00,28.2
2020-05-03,16.2,3.40,22.4
2020-05-04,14.7,2.20,28.8
2020-05-05,10.4,0.00,23.2
2020-05-06,8.8,3.50,21.7
2020-05-07,11.0,0.00,21.5
2020-05-08,9.7,7.70,23.9
2020-05-09,5.5,4.00,41.4
2020-05-10,9.3,0.00,29.5
2020-05-11,11.2,0.80,27.1
2020-05-12,9.3,0.00,29.5
2020-05-13,9.6,0.00,20.2
2020-05-14,11.3,0.20,21.1
2020-05-15,17.6,3.60,30.4
2020-05-16,17.6,2.80,21.6
2020-05-17,12.2,0.00,22.4
2020-05-18,13.0,0.00,22.0
2020-05-19,13.0,0.00,30.9
2020-05-20,11.5,0.00,24.0
2020-05-21,11.6,0.00,16.6
2020-05-22,15.2,0.10,12.1
2020-05-23,14.5,15.60,28.1
2020-05-24,13.1,0.00,23.9
2020-05-25,14.6,0.00,15.6
2020-05-26,15.7,0.00,13.1
2020-05-27,15.8,0.00,13.4
2020-05-28,17.2,0.40,21.8
2020-05-29,18.3,1.80,26.6
2020-05-30,20.6,0.20,23.9
2020-05-31,16.4,0.00,24.2
2020-06-01,14.7,0.00,17.4
2020-06-02,17.1,0.40,15.9
2020-06-03,20.1,5.40,18.1
2020-06-04,21.2,0.00,18.4
2020-06-05,20.2,14.20,17.9
2020-06-06,22.1,5.50,22.4
2020-06-07,19.5,0.00,21.4
2020-06-08,18.8,0.00,15.6
2020-06-09,21.2,0.00,20.8
2020-06-10,21.4,0.00,24.9
2020-06-11,21.5,23.50,29.9
2020-06-12,22.1,0.00,15.8
2020-06-13,18.7,0.00,22.5
