time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,7.9,0.00,17.4
2020-01-02,8.5,0.00,18.8
2020-01-03,12.6,5.10,19.1
2020-01-04,15.1,29.10,24.2
2020-01-05,6.7,3.30,27.3
2020-01-06,7.6,0.00,17.1
2020-01-07,6.7,4.00,30.9
2020-01-08,5.8,0.00,30.3
2020-01-09,3.5,0.00,13.7
2020-01-10,11.0,0.00,19.2
2020-01-11,16.7,0.00,30.6
2020-01-12,19.0,3.20,33.6
2020-01-13,17.1,29.20,15.3
2020-01-14,13.6,22.80,11.9
2020-01-15,10.7,0.00,13.4
2020-01-16,13.1,0.00,25.1
2020-01-17,2.9,0.00,27.6
2020-01-18,4.9,1.60,26.4
2020-01-19,9.9,0.10,26.1
2020-01-20,0.3,0.00,23.7
2020-01-21,-0.0,0.00,24.2
2020-01-22,1.7,0.00,19.4
2020-01-23,5.2,0.00,14.5
2020-01-24,10.7,0.50,18.2
2020-01-25,13.0,17.00,24.0
2020-01-26,6.7,0.00,12.8
2020-01-27,6.4,0.00,19.0
2020-01-28,5.7,0.00,21.2
2020-01-29,4.5,0.00,12.2
2020-01-30,4.5,0.00,16.2
2020-01-31,5.8,1.80,13.7
2020-02-01,6.9,10.30,14.3
2020-02-02,8.3,0.00,26.9
2020-02-03,13.9,0.00,26.1
2020-02-04,15.3,0.90,22.2
2020-02-05,12.7,3.90,20.0
2020-02-06,16.3,28.30,25.3
2020-02-07,13.9,37.80,43.8
2020-02-08,5.1,0.00,23.0
2020-02-09,5.2,0.00,14.3
2020-02-10,10.5,0.00,21.1
2020-02-11,15.8,22.70,32.6
2020-02-12,9.0,0.50,20.0
2020-02-13,16.1,11.70,26.6
2020-02-14,6.4,0.00,24.8
2020-02-15,1.4,0.00,20.3
2020-02-16,5.4,0.60,12.2
2020-02-17,7.5,0.20,14.9
2020-02-18,10.8,0.30,13.6
2020-02-19,8.8,10.00,24.1
2020-02-20,3.9,10.70,19.7
2020-02-21,0.6,4.00,29.9
2020-02-22,2.2,0.00,9.9
2020-02-23,6.3,0.00,14.1
2020-02-24,8.0,0.60,14.1
2020-02-25,12.6,5.40,16.1
2020-02-26,12.4,1.20,21.1
2020-02-27,8.1,1.60,30.1
2020-02-28,5.3,0.00,25.9
2020-02-29,4.3,0.00,23.1
2020-03-01,3.8,0.00,13.0
2020-03-02,10.2,0.10,22.1
2020-03-03,14.2,4.10,25.5
2020-03-04,13.0,0.00,23.7
2020-03-05,9.0,0.00,22.4
2020-03-06,8.4,10.60,24.6
2020-03-07,6.5,0.00,31.6
2020-03-08,7.1,0.00,15.9
2020-03-09,11.7,0.00,20.7
2020-03-10,15.8,0.40,28.3
2020-03-11,13.2,0.00,20.3
2020-03-12,13.5,1.90,12.0
2020-03-13,18.3,7.50,25.0
2020-03-14,11.5,0.00,17.4
2020-03-15,8.8,0.80,19.4
2020-03-16,8.7,0.00,17.6
2020-03-17,12.1,0.00,12.8
2020-03-18,11.9,0.00,20.0
2020-03-19,18.6,5.40,21.3
2020-03-20,22.4,2.00,27.8
2020-03-21,13.8,4.30,21.9
2020-03-22,9.2,0.80,22.5
2020-03-23,11.4,11.60,23.7
2020-03-24,10.4,1.70,15.9
2020-03-25,10.5,43.40,23.0
2020-03-26,10.6,0.00,16.2
2020-03-27,15.4,0.40,21.8
2020-03-28,17.9,0.00,16.0
2020-03-29,23.3,0.00,22.4
2020-03-30,19.3,0.00,18.7
2020-03-31,10.5,11.20,27.7
2020-04-01,8.5,10.40,31.3
2020-04-02,10.8,0.00,28.0
2020-04-03,12.3,0.00,27.4
2020-04-04,10.4,0.00,19.4
2020-04-05,11.7,0.00,13.7
2020-04-06,14.1,2.70,15.0
2020-04-07,16.2,1.10,12.2
2020-04-08,20.6,0.60,22.1
2020-04-09,18.3,0.10,32.0
2020-04-10,11.4,0.00,33.3
2020-04-11,10.7,0.00,13.1
2020-04-12,15.6,0.90,26.4
2020-04-13,20.3,25.20,42.7
2020-04-14,13.0,0.00,21.5
2020-04-15,8.2,6.00,26.8
2020-04-16,9.8,0.00,16.3
2020-04-17,12.8,0.00,28.4
2020-04-18,14.3,10.10,29.4
2020-04-19,13.2,0.00,16.7
2020-04-20,13.0,9.80,21.3
2020-04-21,14.9,1.60,29.1
2020-04-22,12.3,0.00,21.3
2020-04-23,14.2,5.90,25.7
2020-04-24,18.0,6.50,23.9
2020-04-25,12.4,2.60,17.1
2020-04-26,17.5,4.10,21.7
2020-04-27,12.2,0.40,26.9
2020-04-28,13.1,0.00,17.7
2020-04-29,18.9,0.00,25.6
2020-04-30,18.6,21.40,33.8
2020-05-01,15.0,9.50,16.6
2020-05-02,15.1,0.00,17.5
2020-05-03,20.9,0.00,18.5
2020-05-04,20.4,0.40,24.5
2020-05-05,14.0,1.00,14.1
2020-05-06,14.2,8.50,23.4
2020-05-07,12.9,1.10,23.0
2020-05-08,15.0,0.10,30.6
2020-05-09,9.5,1.40,30.5
2020-05-10,12.0,0.00,20.1
2020-05-11,15.0,0.00,21.4
2020-05-12,12.1,0.00,20.9
2020-05-13,14.0,0.00,12.6
2020-05-14,17.2,0.00,19.6
2020-05-15,21.6,0.00,22.5
2020-05-16,21.9,0.00,21.4
2020-05-17,19.4,0.00,16.1
2020-05-18,17.4,12.20,27.4
2020-05-19,14.6,6.60,29.5
2020-05-20,14.4,2.10,30.8
2020-05-21,17.3,5.20,22.7
2020-05-22,21.3,11.40,17.9
2020-05-23,21.9,0.10,13.3
2020-05-24,17.3,0.00,17.0
2020-05-25,17.6,0.00,13.0
2020-05-26,18.2,0.00,12.3
2020-05-27,20.3,1.10,20.0
2020-05-28,23.1,6.30,20.6
2020-05-29,23.4,10.60,16.3
2020-05-30,22.8,13.30,15.3
2020-05-31,19.2,0.00,23.4
2020-06-01,16.8,0.00,22.0
2020-06-02,20.4,0.00,20.7
2020-06-03,26.4,0.00,22.7
2020-06-04,27.1,0.70,19.7
2020-06-05,24.9,9.10,22.5
2020-06-06,25.7,7.50,14.2
2020-06-07,23.5,0.10,15.5
2020-06-08,22.1,0.00,11.1
2020-06-09,25.1,0.00,17.3
2020-06-10,25.9,0.60,25.4
2020-06-11,24.8,9.60,25.3
