time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,1.7,0.00,22.7
2020-01-02,2.3,0.00,13.7
2020-01-03,6.0,3.80,10.6
2020-01-04,7.5,5.00,20.2
2020-01-05,2.4,0.40,30.7
2020-01-06,2.5,0.70,22.5
2020-01-07,2.2,0.90,16.6
2020-01-08,0.6,0.20,29.9
2020-01-09,-2.0,0.00,20.7
2020-01-10,3.7,0.00,15.5
2020-01-11,13.1,0.00,23.3
2020-01-12,14.6,6.70,31.1
2020-01-13,5.2,0.00,11.6
2020-01-14,4.1,1.70,9.8
2020-01-15,6.2,0.00,11.7
2020-01-16,5.3,2.40,31.4
2020-01-17,-2.6,0.00,28.1
2020-01-18,-3.2,9.20,18.4
2020-01-19,2.2,0.60,19.9
2020-01-20,-4.1,0.00,22.9
2020-01-21,-4.3,0.00,15.1
2020-01-22,-1.3,0.00,7.8
2020-01-23,0.2,0.00,8.0
2020-01-24,2.7,0.00,12.9
2020-01-25,5.5,29.10,29.5
2020-01-26,3.2,0.00,18.4
2020-01-27,2.8,0.00,16.6
2020-01-28,2.2,0.00,19.4
2020-01-29,0.7,0.00,14.0
2020-01-30,-1.3,0.00,11.3
2020-01-31,1.6,0.60,7.9
2020-02-01,2.0,0.00,7.1
2020-02-02,2.2,2.00,16.3
2020-02-03,5.4,0.00,14.0
2020-02-04,7.4,1.90,12.2
2020-02-05,4.6,1.40,17.4
2020-02-06,4.1,15.50,12.5
2020-02-07,5.1,15.20,31.0
2020-02-08,0.8,0.00,20.9
2020-02-09,1.9,0.00,10.1
2020-02-10,4.7,9.40,17.9
2020-02-11,6.0,9.70,11.7
2020-02-12,4.3,0.30,16.6
2020-02-13,4.1,14.40,17.5
2020-02-14,-1.2,0.00,21.5
2020-02-15,-4.9,0.00,15.7
2020-02-16,0.9,0.00,14.9
2020-02-17,3.6,0.00,11.0
2020-02-18,4.6,1.10,14.6
2020-02-19,4.6,0.10,20.3
2020-02-20,-0.4,0.00,14.4
2020-02-21,-2.5,0.00,20.2
2020-02-22,1.7,0.00,16.9
2020-02-23,4.2,0.00,13.1
2020-02-24,6.3,0.00,9.9
2020-02-25,6.7,5.40,9.4
2020-02-26,6.9,0.00,18.4
2020-02-27,4.0,11.70,36.0
2020-02-28,0.6,0.00,30.7
2020-02-29,-0.8,0.00,25.0
2020-03-01,0.1,0.00,19.6
2020-03-02,6.6,0.10,20.6
2020-03-03,10.3,7.20,20.8
2020-03-04,8.5,0.90,29.0
2020-03-05,5.8,0.00,18.1
2020-03-06,3.7,4.70,14.3
2020-03-07,3.5,0.20,25.6
2020-03-08,5.6,0.00,16.9
2020-03-09,10.9,0.00,16.5
2020-03-10,12.5,1.40,23.2
2020-03-11,8.6,0.20,19.9
2020-03-12,6.2,1.10,13.1
2020-03-13,12.2,9.30,25.4
2020-03-14,8.0,0.00,18.8
2020-03-15,6.8,0.30,11.9
2020-03-16,3.1,0.00,15.5
2020-03-17,6.3,5.10,15.5
2020-03-18,6.7,0.00,14.7
2020-03-19,7.4,17.10,14.1
2020-03-20,15.5,2.80,24.3
2020-03-21,8.4,0.00,23.2
2020-03-22,2.9,0.00,17.9
2020-03-23,3.3,18.40,23.0
2020-03-24,7.0,0.00,16.6
2020-03-25,5.5,0.80,20.8
2020-03-26,7.8,0.00,14.6
2020-03-27,11.8,0.00,15.1
2020-03-28,8.0,7.80,16.2
2020-03-29,9.5,1.40,16.8
2020-03-30,9.5,3.20,10.0
2020-03-31,6.2,1.90,11.2
2020-04-01,7.0,0.00,17.1
2020-04-02,7.9,0.00,29.0
2020-04-03,8.2,5.30,23.8
2020-04-04,9.2,0.00,15.4
2020-04-05,12.1,0.00,9.1
2020-04-06,12.0,0.00,12.0
2020-04-07,12.4,0.20,11.5
2020-04-08,13.6,6.60,14.0
2020-04-09,9.8,11.10,35.5
2020-04-10,6.4,1.10,37.0
2020-04-11,6.8,0.00,24.4
2020-04-12,10.5,0.10,19.9
2020-04-13,14.5,47.50,39.7
2020-04-14,10.1,0.20,20.9
2020-04-15,7.3,1.80,21.0
2020-04-16,6.1,0.10,24.6
2020-04-17,5.0,2.90,19.5
2020-04-18,6.6,10.70,22.3
2020-04-19,8.9,0.00,23.2
2020-04-20,9.7,0.00,16.5
2020-04-21,9.2,8.70,24.6
2020-04-22,5.5,0.00,29.4
2020-04-23,6.2,1.20,11.3
2020-04-24,7.0,15.60,18.1
2020-04-25,9.7,0.00,13.7
2020-04-26,7.8,9.50,23.1
2020-04-27,6.5,1.10,21.4
2020-04-28,9.9,0.00,16.3
2020-04-29,10.0,0.40,21.8
2020-04-30,13.4,26.90,32.1
2020-05-01,14.4,17.10,19.0
2020-05-02,15.0,0.00,21.5
2020-05-03,17.8,4.20,16.6
2020-05-04,15.1,0.30,27.2
2020-05-05,10.8,0.00,17.4
2020-05-06,8.7,3.90,16.0
2020-05-07,11.2,0.00,18.0
2020-05-08,8.8,12.00,16.9
2020-05-09,4.7,1.70,31.8
2020-05-10,9.1,0.00,24.7
2020-05-11,10.4,2.10,21.8
2020-05-12,9.1,0.00,26.3
2020-05-13,9.6,0.00,20.4
2020-05-14,13.2,0.00,12.8
2020-05-15,20.1,2.90,21.1
2020-05-16,19.1,1.90,15.7
2020-05-17,14.4,0.30,13.8
2020-05-18,14.3,0.00,17.7
2020-05-19,13.8,0.00,26.0
2020-05-20,12.1,0.00,19.2
2020-05-21,12.8,0.00,12.9
2020-05-22,16.9,2.90,9.0
2020-05-23,16.3,18.40,18.8
2020-05-24,14.5,0.00,15.3
2020-05-25,16.5,0.00,9.9
2020-05-26,18.7,0.00,13.0
2020-05-27,18.9,0.00,14.3
2020-05-28,20.3,4.30,19.7
2020-05-29,22.6,3.60,16.7
2020-05-30,22.0,0.10,14.6
2020-05-31,16.3,0.00,21.3
2020-06-01,14.9,0.10,18.7
2020-06-02,17.8,0.00,14.2
2020-06-03,21.0,6.90,17.5
2020-06-04,24.2,0.00,10.9
2020-06-05,22.1,25.50,11.7
2020-06-06,23.7,5.20,16.6
2020-06-07,19.8,0.00,21.3
2020-06-08,19.4,0.00,14.3
2020-06-09,22.7,0.00,13.8
