time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-01-01,7.4,0.00,13.7
2020-01-02,7.6,0.90,15.2
2020-01-03,13.1,6.80,13.8
2020-01-04,14.7,17.80,23.7
2020-01-05,6.5,0.00,25.6
2020-01-06,7.4,0.00,13.1
2020-01-07,6.0,3.10,20.2
2020-01-08,6.4,0.00,22.0
2020-01-09,4.6,0.00,12.4
2020-01-10,11.1,0.00,15.2
2020-01-11,17.5,0.20,28.5
2020-01-12,19.6,2.90,29.3
2020-01-13,18.4,18.70,13.2
2020-01-14,18.1,18.90,16.7
2020-01-15,15.8,0.00,11.6
2020-01-16,14.6,0.00,21.0
2020-01-17,4.8,0.00,19.1
2020-01-18,5.7,2.40,19.0
2020-01-19,9.6,2.90,21.9
2020-01-20,0.5,0.00,19.5
2020-01-21,-0.8,0.00,18.9
2020-01-22,0.5,0.00,16.0
2020-01-23,2.4,0.00,10.2
2020-01-24,9.5,9.00,22.9
2020-01-25,11.5,17.10,20.4
2020-01-26,6.2,0.00,13.8
2020-01-27,7.0,1.80,11.3
2020-01-28,5.9,0.00,13.5
2020-01-29,4.7,0.00,10.6
2020-01-30,5.3,0.00,10.1
2020-01-31,3.4,19.60,15.8
2020-02-01,5.0,4.60,12.3
2020-02-02,8.3,0.00,24.3
2020-02-03,13.3,0.00,20.1
2020-02-04,15.0,0.50,19.0
2020-02-05,16.4,4.30,17.4
2020-02-06,17.4,76.80,27.0
2020-02-07,12.5,29.00,35.1
2020-02-08,4.0,0.10,12.7
2020-02-09,5.2,0.00,10.4
2020-02-10,9.9,0.90,14.1
2020-02-11,16.9,17.40,29.0
2020-02-12,12.4,0.30,15.5
2020-02-13,17.0,11.10,25.1
2020-02-14,7.8,0.00,19.3
2020-02-15,2.6,0.00,15.3
2020-02-16,5.7,3.70,9.2
2020-02-17,9.2,1.00,10.2
2020-02-18,10.9,2.00,10.8
2020-02-19,10.3,6.30,15.3
2020-02-20,4.4,12.00,15.9
2020-02-21,-0.6,0.70,20.1
2020-02-22,2.3,0.00,8.8
2020-02-23,5.9,0.00,11.7
2020-02-24,7.7,5.30,11.2
2020-02-25,12.8,2.20,16.3
2020-02-26,14.5,0.50,22.9
2020-02-27,6.9,0.10,25.1
2020-02-28,5.0,0.10,21.3
2020-02-29,4.4,0.00,21.1
2020-03-01,4.5,0.00,13.3
2020-03-02,10.6,0.40,20.9
2020-03-03,13.8,9.90,22.3
2020-03-04,12.3,0.00,14.9
2020-03-05,10.1,3.40,17.2
2020-03-06,8.8,0.20,28.3
2020-03-07,6.8,0.00,21.8
2020-03-08,7.0,0.00,12.3
2020-03-09,11.1,0.00,18.7
