time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),windspeed_100m (km/h)
2020-01-01T00:00,-2.5,75,0.00,28.4
2020-01-01T01:00,-2.8,76,0.00,27.7
2020-01-01T02:00,-2.8,79,0.00,25.9
2020-01-01T03:00,-3.0,77,0.00,24.6
2020-01-01T04:00,-3.2,77,0.00,23.7
2020-01-01T05:00,-3.3,77,0.00,22.5
2020-01-01T06:00,-3.3,77,0.00,23.2
2020-01-01T07:00,-3.3,78,0.00,21.7
2020-01-01T08:00,-3.2,81,0.00,20.7
2020-01-01T09:00,-3.0,83,0.00,23.0
2020-01-01T10:00,-2.0,81,0.00,23.2
2020-01-01T11:00,-0.6,77,0.00,24.8
2020-01-01T12:00,0.9,71,0.00,28.0
2020-01-01T13:00,2.3,68,0.00,30.8
2020-01-01T14:00,3.4,62,0.00,32.2
2020-01-01T15:00,4.2,61,0.00,31.9
2020-01-01T16:00,4.6,62,0.00,36.3
2020-01-01T17:00,4.5,64,0.00,39.1
2020-01-01T18:00,4.2,66,0.00,44.6
2020-01-01T19:00,4.3,66,0.00,47.7
2020-01-01T20:00,4.3,66,0.00,50.7
2020-01-01T21:00,4.4,65,0.00,51.1
2020-01-01T22:00,4.6,63,0.00,50.7
2020-01-01T23:00,4.7,61,0.00,49.7
2020-01-02T00:00,4.7,60,0.00,49.3
2020-01-02T01:00,4.6,59,0.00,48.7
2020-01-02T02:00,4.5,58,0.00,47.7
2020-01-02T03:00,4.4,58,0.00,47.8
2020-01-02T04:00,4.3,58,0.00,46.4
2020-01-02T05:00,4.2,60,0.00,44.4
2020-01-02T06:00,4.0,62,0.00,42.1
2020-01-02T07:00,3.9,64,0.00,39.2
2020-01-02T08:00,3.8,67,0.00,38.8
2020-01-02T09:00,3.6,70,0.00,38.4
2020-01-02T10:00,4.1,71,0.00,38.7
2020-01-02T11:00,5.0,70,0.00,33.2
2020-01-02T12:00,6.0,70,0.00,34.2
2020-01-02T13:00,6.8,69,0.00,33.1
2020-01-02T14:00,7.1,72,0.00,32.4
2020-01-02T15:00,7.3,72,0.00,29.3
2020-01-02T16:00,7.4,72,0.00,27.0
2020-01-02T17:00,7.1,75,0.00,26.4
2020-01-02T18:00,6.7,77,0.00,25.5
2020-01-02T19:00,6.2,80,0.00,27.4
2020-01-02T20:00,5.6,84,0.00,25.6
2020-01-02T21:00,5.2,86,0.00,24.7
2020-01-02T22:00,4.9,89,0.00,24.3
2020-01-02T23:00,4.5,91,0.00,23.2
2020-01-03T00:00,4.0,93,0.00,21.5
2020-01-03T01:00,3.6,94,0.00,17.4
2020-01-03T02:00,3.3,95,0.00,16.7
2020-01-03T03:00,3.0,95,0.00,18.6
2020-01-03T04:00,2.6,95,0.00,17.7
2020-01-03T05:00,2.3,94,0.00,14.4
2020-01-03T06:00,1.9,94,0.00,13.5
2020-01-03T07:00,1.7,94,0.00,15.5
2020-01-03T08:00,1.5,93,0.00,15.4
2020-01-03T09:00,1.3,90,0.00,16.8
2020-01-03T10:00,1.3,86,0.00,16.9
2020-01-03T11:00,1.2,84,0.00,14.1
2020-01-03T12:00,1.2,83,0.00,9.7
2020-01-03T13:00,1.2,82,0.00,7.2
2020-01-03T14:00,2.6,81,0.00,7.0
2020-01-03T15:00,2.6,81,0.00,9.0
2020-01-03T16:00,2.6,80,0.00,10.8
2020-01-03T17:00,2.4,79,0.00,9.4
2020-01-03T18:00,2.2,80,0.00,10.8
2020-01-03T19:00,2.0,81,0.00,10.1
2020-01-03T20:00,1.9,81,0.00,10.1
2020-01-03T21:00,1.8,81,0.00,10.0
2020-01-03T22:00,1.5,82,0.00,10.1
2020-01-03T23:00,1.5,82,0.00,11.2
2020-01-04T00:00,1.3,82,0.00,10.6
2020-01-04T01:00,1.3,82,0.00,12.1
2020-01-04T02:00,1.0,81,0.20,14.3
2020-01-04T03:00,0.6,84,0.40,15.1
2020-01-04T04:00,0.4,85,0.50,16.8
2020-01-04T05:00,0.2,85,0.60,13.4
2020-01-04T06:00,0.1,85,0.60,15.1
2020-01-04T07:00,0.0,85,0.60,16.4
2020-01-04T08:00,0.1,82,0.40,21.7
2020-01-04T09:00,0.0,79,0.20,25.0
2020-01-04T10:00,0.3,75,0.00,24.9
2020-01-04T11:00,0.8,71,0.00,23.2
2020-01-04T12:00,1.1,66,0.00,23.2
2020-01-04T13:00,1.2,63,0.00,22.8
2020-01-04T14:00,1.1,63,0.00,27.4
2020-01-04T15:00,0.7,65,0.00,27.1
2020-01-04T16:00,0.3,64,0.00,24.3
2020-01-04T17:00,-0.0,63,0.00,22.1
2020-01-04T18:00,-0.4,63,0.00,21.7
2020-01-04T19:00,-0.7,62,0.00,21.3
2020-01-04T20:00,-0.8,62,0.00,22.1
2020-01-04T21:00,-0.8,62,0.00,20.3
2020-01-04T22:00,-0.9,62,0.00,18.7
2020-01-04T23:00,-1.0,64,0.00,16.9
2020-01-05T00:00,-1.3,66,0.00,19.2
2020-01-05T01:00,-1.6,70,0.00,23.0
2020-01-05T02:00,-2.0,75,0.00,22.3
2020-01-05T03:00,-2.4,78,0.00,19.3
2020-01-05T04:00,-2.8,81,0.00,21.1
2020-01-05T05:00,-2.9,82,0.00,22.2
2020-01-05T06:00,-2.9,82,0.00,21.0
2020-01-05T07:00,-2.6,80,0.00,24.6
2020-01-05T08:00,-2.3,80,0.00,32.6
2020-01-05T09:00,-1.8,80,0.00,36.6
2020-01-05T10:00,-0.9,78,0.00,40.3
2020-01-05T11:00,0.1,76,0.00,39.6
2020-01-05T12:00,1.2,74,0.00,38.6
2020-01-05T13:00,2.4,69,0.00,43.4
2020-01-05T14:00,4.0,67,0.20,42.3
2020-01-05T15:00,4.9,66,0.00,41.9
2020-01-05T16:00,5.3,69,0.00,41.3
2020-01-05T17:00,5.3,70,0.00,40.3
2020-01-05T18:00,4.8,70,0.00,40.3
2020-01-05T19:00,4.3,70,0.00,40.8
2020-01-05T20:00,3.6,72,0.00,39.9
2020-01-05T21:00,2.8,73,0.00,40.8
2020-01-05T22:00,2.0,73,0.00,38.6
2020-01-05T23:00,1.6,70,0.00,36.8
2020-01-06T00:00,1.2,70,0.00,34.6
2020-01-06T01:00,0.8,68,0.00,35.9
2020-01-06T02:00,0.2,70,0.00,36.0
2020-01-06T03:00,-0.0,67,0.00,33.2
2020-01-06T04:00,-0.4,66,0.00,30.3
2020-01-06T05:00,-0.7,65,0.00,26.4
2020-01-06T06:00,-1.1,64,0.00,25.6
2020-01-06T07:00,-1.3,63,0.00,23.0
2020-01-06T08:00,-1.4,63,0.00,21.1
2020-01-06T09:00,-1.4,63,0.00,21.0
2020-01-06T10:00,-0.8,63,0.00,22.5
2020-01-06T11:00,0.1,60,0.00,23.2
2020-01-06T12:00,1.2,58,0.00,24.0
2020-01-06T13:00,2.3,56,0.00,24.0
2020-01-06T14:00,3.3,58,0.00,24.0
2020-01-06T15:00,3.7,58,0.00,23.8
2020-01-06T16:00,3.8,58,0.00,23.5
2020-01-06T17:00,3.4,61,0.00,20.9
2020-01-06T18:00,2.8,63,0.00,24.2
2020-01-06T19:00,2.3,65,0.00,24.9
2020-01-06T20:00,1.9,67,0.00,23.0
2020-01-06T21:00,1.5,68,0.00,21.9
2020-01-06T22:00,1.3,70,0.00,21.7
2020-01-06T23:00,1.0,71,0.00,25.6
2020-01-07T00:00,0.6,72,0.00,25.9
2020-01-07T01:00,0.4,74,0.00,23.4
2020-01-07T02:00,-0.3,73,0.00,20.9
2020-01-07T03:00,-0.5,74,0.00,19.2
2020-01-07T04:00,-0.8,75,0.00,20.0
2020-01-07T05:00,-1.0,77,0.00,22.7
2020-01-07T06:00,-1.0,76,0.00,22.5
2020-01-07T07:00,-0.9,75,0.00,20.7
2020-01-07T08:00,-0.8,75,0.00,21.4
2020-01-07T09:00,-0.5,75,0.00,23.0
2020-01-07T10:00,0.3,74,0.00,23.5
2020-01-07T11:00,1.4,71,0.00,22.8
2020-01-07T12:00,2.3,69,0.00,23.8
2020-01-07T13:00,2.9,68,0.00,23.8
2020-01-07T14:00,3.7,67,0.00,28.2
2020-01-07T15:00,4.0,64,0.00,28.1
2020-01-07T16:00,4.0,61,0.00,29.2
2020-01-07T17:00,3.6,61,0.00,22.7
2020-01-07T18:00,3.0,62,0.00,26.9
2020-01-07T19:00,2.3,63,0.00,31.0
2020-01-07T20:00,1.6,64,0.00,33.8
2020-01-07T21:00,1.2,64,0.00,35.6
2020-01-07T22:00,1.0,63,0.00,36.7
2020-01-07T23:00,0.6,63,0.00,37.3
2020-01-08T00:00,0.2,63,0.00,36.9
2020-01-08T01:00,-0.3,60,0.00,38.3
