time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),windspeed_100m (km/h)
2020-01-01T00:00,3.2,66,0.00,27.7
2020-01-01T01:00,2.3,64,0.00,29.2
2020-01-01T02:00,1.7,63,0.00,30.0
2020-01-01T03:00,1.6,78,0.00,30.3
2020-01-01T04:00,1.3,74,0.00,29.9
2020-01-01T05:00,0.9,71,0.00,29.3
2020-01-01T06:00,0.7,69,0.00,25.7
2020-01-01T07:00,0.6,66,0.00,25.3
2020-01-01T08:00,0.3,65,0.00,25.6
2020-01-01T09:00,0.0,64,0.00,27.1
2020-01-01T10:00,1.0,62,0.00,27.7
2020-01-01T11:00,2.1,53,0.00,29.6
2020-01-01T12:00,3.1,48,0.00,33.6
2020-01-01T13:00,3.8,45,0.00,32.3
2020-01-01T14:00,3.9,44,0.00,31.3
2020-01-01T15:00,4.1,42,0.00,32.1
2020-01-01T16:00,4.0,44,0.00,30.7
2020-01-01T17:00,3.6,45,0.00,27.3
2020-01-01T18:00,2.4,48,0.00,23.1
2020-01-01T19:00,1.5,52,0.00,23.1
2020-01-01T20:00,0.8,55,0.00,23.4
2020-01-01T21:00,0.3,58,0.00,23.1
2020-01-01T22:00,-0.3,61,0.00,22.0
2020-01-01T23:00,-0.9,64,0.00,21.2
2020-01-02T00:00,-1.5,68,0.00,20.6
2020-01-02T01:00,-1.9,71,0.00,21.3
2020-01-02T02:00,-2.3,74,0.00,20.8
2020-01-02T03:00,-2.7,78,0.00,22.0
2020-01-02T04:00,-2.7,78,0.00,22.8
2020-01-02T05:00,-2.5,78,0.00,22.3
2020-01-02T06:00,-2.4,79,0.00,22.1
2020-01-02T07:00,-2.4,79,0.00,22.0
2020-01-02T08:00,-2.3,80,0.00,22.7
2020-01-02T09:00,-2.0,81,0.00,21.7
2020-01-02T10:00,0.7,74,0.00,19.2
2020-01-02T11:00,3.2,64,0.00,15.2
2020-01-02T12:00,5.2,59,0.00,15.8
2020-01-02T13:00,6.7,55,0.00,17.8
2020-01-02T14:00,7.8,53,0.00,20.6
2020-01-02T15:00,8.1,52,0.00,19.5
2020-01-02T16:00,7.6,56,0.00,19.2
2020-01-02T17:00,6.6,61,0.00,20.6
2020-01-02T18:00,5.0,67,0.00,19.3
2020-01-02T19:00,4.2,71,0.00,24.5
2020-01-02T20:00,3.5,76,0.00,25.3
2020-01-02T21:00,3.3,79,0.00,26.5
2020-01-02T22:00,3.2,82,0.00,26.7
2020-01-02T23:00,3.4,81,0.00,24.6
2020-01-03T00:00,3.6,81,0.00,25.5
2020-01-03T01:00,3.7,82,0.00,23.5
2020-01-03T02:00,4.3,80,0.00,23.2
2020-01-03T03:00,5.4,72,0.00,23.0
2020-01-03T04:00,5.5,73,0.00,22.7
2020-01-03T05:00,5.3,76,0.10,22.5
2020-01-03T06:00,5.0,83,0.50,17.7
2020-01-03T07:00,4.8,91,0.80,16.6
2020-01-03T08:00,4.9,93,0.70,15.4
2020-01-03T09:00,5.1,94,0.40,13.7
2020-01-03T10:00,5.6,94,0.20,14.1
2020-01-03T11:00,6.2,94,0.10,13.2
2020-01-03T12:00,6.8,94,0.20,13.0
2020-01-03T13:00,7.6,93,0.20,11.4
2020-01-03T14:00,7.7,93,0.00,12.5
2020-01-03T15:00,7.1,94,0.00,13.0
2020-01-03T16:00,7.4,93,0.00,11.5
2020-01-03T17:00,7.2,95,0.00,10.3
2020-01-03T18:00,6.8,96,0.10,9.4
2020-01-03T19:00,6.7,97,0.00,8.6
2020-01-03T20:00,6.5,97,0.00,13.7
2020-01-03T21:00,6.6,97,0.00,14.2
2020-01-03T22:00,6.5,97,0.10,15.3
2020-01-03T23:00,6.4,98,0.40,11.5
2020-01-04T00:00,6.2,98,0.50,7.7
2020-01-04T01:00,6.1,99,0.50,2.7
2020-01-04T02:00,6.2,98,0.60,1.1
2020-01-04T03:00,6.6,98,0.40,3.9
2020-01-04T04:00,6.5,99,0.60,6.3
2020-01-04T05:00,6.8,98,0.80,6.1
2020-01-04T06:00,6.3,99,0.60,3.4
2020-01-04T07:00,6.4,99,0.30,6.7
2020-01-04T08:00,6.6,99,0.20,13.3
2020-01-04T09:00,6.9,100,0.00,12.6
2020-01-04T10:00,7.5,99,0.00,9.6
2020-01-04T11:00,8.3,99,0.00,5.2
2020-01-04T12:00,9.2,97,0.00,3.8
2020-01-04T13:00,9.5,98,0.00,2.6
2020-01-04T14:00,10.5,94,0.00,8.7
2020-01-04T15:00,9.8,94,0.00,13.0
2020-01-04T16:00,9.8,96,0.00,15.1
2020-01-04T17:00,9.9,96,0.00,19.1
2020-01-04T18:00,9.5,96,0.00,12.1
2020-01-04T19:00,9.0,95,0.00,20.4
2020-01-04T20:00,7.9,92,0.10,25.6
2020-01-04T21:00,6.1,90,0.20,27.4
2020-01-04T22:00,4.7,88,0.00,31.8
2020-01-04T23:00,3.6,89,0.20,35.5
2020-01-05T00:00,2.9,88,0.20,34.9
2020-01-05T01:00,2.4,86,0.20,37.2
2020-01-05T02:00,2.2,80,0.00,36.8
2020-01-05T03:00,2.2,83,0.00,36.0
2020-01-05T04:00,2.0,77,0.00,38.0
2020-01-05T05:00,1.8,70,0.00,38.9
2020-01-05T06:00,1.5,67,0.00,36.2
2020-01-05T07:00,1.4,63,0.00,38.0
2020-01-05T08:00,1.2,62,0.00,40.1
2020-01-05T09:00,1.1,62,0.00,39.4
2020-01-05T10:00,2.0,61,0.00,39.4
2020-01-05T11:00,3.1,53,0.00,46.4
2020-01-05T12:00,4.1,48,0.00,47.0
2020-01-05T13:00,4.5,46,0.00,46.3
2020-01-05T14:00,4.6,46,0.00,43.5
2020-01-05T15:00,4.9,43,0.00,39.8
2020-01-05T16:00,4.8,42,0.00,36.6
2020-01-05T17:00,4.2,44,0.00,31.8
2020-01-05T18:00,3.2,46,0.00,25.5
2020-01-05T19:00,2.3,50,0.00,22.8
2020-01-05T20:00,1.4,54,0.00,19.5
2020-01-05T21:00,0.4,61,0.00,16.9
2020-01-05T22:00,-0.7,70,0.00,16.2
2020-01-05T23:00,-1.1,74,0.00,15.9
2020-01-06T00:00,-0.5,72,0.00,16.9
2020-01-06T01:00,0.3,68,0.00,20.3
2020-01-06T02:00,0.5,70,0.30,20.1
2020-01-06T03:00,0.2,77,0.30,15.3
2020-01-06T04:00,0.1,78,0.10,14.5
2020-01-06T05:00,-0.3,80,0.00,15.5
2020-01-06T06:00,-0.9,83,0.00,15.7
2020-01-06T07:00,-0.4,80,0.00,18.1
2020-01-06T08:00,0.1,77,0.00,20.8
2020-01-06T09:00,0.4,75,0.00,24.1
2020-01-06T10:00,1.4,71,0.00,25.8
2020-01-06T11:00,3.0,66,0.00,23.5
2020-01-06T12:00,4.9,62,0.00,24.4
2020-01-06T13:00,6.4,57,0.00,28.9
2020-01-06T14:00,6.9,51,0.00,33.8
2020-01-06T15:00,7.1,49,0.00,29.3
2020-01-06T16:00,6.9,50,0.00,25.2
2020-01-06T17:00,6.0,53,0.00,24.4
2020-01-06T18:00,4.4,58,0.00,20.2
2020-01-06T19:00,3.4,62,0.00,21.9
2020-01-06T20:00,2.9,64,0.00,26.5
2020-01-06T21:00,2.6,64,0.00,30.7
2020-01-06T22:00,2.4,64,0.00,32.8
2020-01-06T23:00,2.0,64,0.00,33.5
2020-01-07T00:00,1.6,64,0.00,33.6
2020-01-07T01:00,1.1,66,0.00,31.3
2020-01-07T02:00,0.5,68,0.00,28.8
2020-01-07T03:00,0.8,60,0.00,28.6
2020-01-07T04:00,0.3,62,0.00,28.0
2020-01-07T05:00,-0.1,64,0.00,27.1
2020-01-07T06:00,-0.5,67,0.00,22.3
2020-01-07T07:00,-0.9,69,0.00,20.6
2020-01-07T08:00,-1.3,72,0.00,19.6
2020-01-07T09:00,-1.4,77,0.00,16.9
2020-01-07T10:00,0.7,73,0.00,10.5
2020-01-07T11:00,2.8,61,0.00,5.8
2020-01-07T12:00,4.5,56,0.00,4.3
2020-01-07T13:00,5.3,49,0.00,3.7
2020-01-07T14:00,5.6,49,0.00,7.9
2020-01-07T15:00,6.2,46,0.00,13.4
2020-01-07T16:00,5.7,51,0.00,13.4
2020-01-07T17:00,4.7,58,0.00,15.5
2020-01-07T18:00,3.7,64,0.00,10.5
2020-01-07T19:00,2.9,70,0.20,11.2
2020-01-07T20:00,2.1,75,0.30,10.5
2020-01-07T21:00,1.7,79,0.20,9.4
2020-01-07T22:00,1.4,82,0.10,12.6
2020-01-07T23:00,1.1,85,0.10,16.6
2020-01-08T00:00,0.9,86,0.00,19.9
2020-01-08T01:00,0.3,90,0.00,21.8
2020-01-08T02:00,-0.5,93,0.00,22.0
2020-01-08T03:00,-0.8,92,0.00,25.7
2020-01-08T04:00,-1.2,92,0.00,24.5
2020-01-08T05:00,-1.5,92,0.00,25.1
2020-01-08T06:00,-1.8,92,0.00,27.6
