time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),windspeed_100m (km/h)
2020-01-01T00:00,-0.1,73,0.00,30.4
2020-01-01T01:00,-0.4,72,0.00,29.9
2020-01-01T02:00,-0.8,73,0.00,29.2
2020-01-01T03:00,-0.2,76,0.00,28.2
2020-01-01T04:00,-0.2,76,0.00,27.4
2020-01-01T05:00,-0.4,76,0.00,26.0
2020-01-01T06:00,-0.5,77,0.00,21.1
2020-01-01T07:00,-0.7,78,0.00,22.2
2020-01-01T08:00,-0.7,78,0.00,23.0
2020-01-01T09:00,-1.0,80,0.00,24.7
2020-01-01T10:00,-0.5,80,0.00,26.9
2020-01-01T11:00,0.7,75,0.00,33.6
2020-01-01T12:00,1.8,69,0.00,29.7
2020-01-01T13:00,3.1,64,0.00,26.3
2020-01-01T14:00,4.2,61,0.00,25.1
2020-01-01T15:00,5.3,59,0.00,24.6
2020-01-01T16:00,5.8,57,0.00,24.7
2020-01-01T17:00,5.8,58,0.00,21.9
2020-01-01T18:00,4.8,63,0.00,22.2
2020-01-01T19:00,3.4,68,0.00,26.5
2020-01-01T20:00,2.5,72,0.00,28.8
2020-01-01T21:00,2.0,75,0.00,31.8
2020-01-01T22:00,1.9,75,0.00,33.8
2020-01-01T23:00,1.9,73,0.00,33.4
2020-01-02T00:00,1.9,71,0.00,33.7
2020-01-02T01:00,1.8,69,0.00,35.4
2020-01-02T02:00,1.7,67,0.00,33.8
2020-01-02T03:00,1.6,64,0.00,31.4
2020-01-02T04:00,1.4,63,0.00,32.4
2020-01-02T05:00,1.4,61,0.00,31.2
2020-01-02T06:00,1.2,61,0.00,33.2
2020-01-02T07:00,1.2,60,0.00,32.9
2020-01-02T08:00,1.4,59,0.00,33.3
2020-01-02T09:00,1.8,58,0.00,33.5
2020-01-02T10:00,2.8,58,0.00,30.2
2020-01-02T11:00,4.4,56,0.00,31.0
2020-01-02T12:00,5.8,57,0.00,33.9
2020-01-02T13:00,7.5,54,0.00,27.4
2020-01-02T14:00,8.8,54,0.00,28.1
2020-01-02T15:00,9.4,57,0.00,27.6
2020-01-02T16:00,9.5,60,0.00,29.8
2020-01-02T17:00,9.3,65,0.00,31.0
2020-01-02T18:00,9.0,73,0.00,26.7
2020-01-02T19:00,8.8,80,0.00,27.9
2020-01-02T20:00,8.9,85,0.00,27.3
2020-01-02T21:00,8.9,89,0.00,24.8
2020-01-02T22:00,8.8,93,0.10,25.9
2020-01-02T23:00,8.8,95,0.30,23.5
2020-01-03T00:00,8.8,97,0.50,22.4
2020-01-03T01:00,8.7,97,0.70,19.8
2020-01-03T02:00,8.5,98,0.80,17.5
2020-01-03T03:00,8.7,98,2.50,16.9
2020-01-03T04:00,8.7,98,2.20,14.8
2020-01-03T05:00,8.7,99,1.90,13.8
2020-01-03T06:00,8.6,99,2.00,7.7
2020-01-03T07:00,8.6,99,1.90,11.2
2020-01-03T08:00,8.6,99,1.00,9.7
2020-01-03T09:00,8.5,100,0.80,8.3
2020-01-03T10:00,8.4,100,0.80,13.3
2020-01-03T11:00,8.7,100,0.50,11.5
2020-01-03T12:00,9.5,97,0.30,12.5
2020-01-03T13:00,9.9,96,0.20,11.6
2020-01-03T14:00,10.3,95,0.20,11.6
2020-01-03T15:00,10.8,96,0.40,14.0
2020-01-03T16:00,10.7,99,0.60,13.0
2020-01-03T17:00,10.5,99,0.70,9.2
2020-01-03T18:00,10.2,100,0.60,9.0
2020-01-03T19:00,9.7,100,0.80,5.6
2020-01-03T20:00,9.4,99,1.00,4.8
2020-01-03T21:00,9.2,99,0.80,11.3
2020-01-03T22:00,9.0,99,0.70,13.6
2020-01-03T23:00,8.6,99,0.60,18.8
2020-01-04T00:00,8.3,99,0.40,19.0
2020-01-04T01:00,7.9,99,0.30,15.8
2020-01-04T02:00,7.6,99,0.40,13.6
2020-01-04T03:00,7.0,96,0.10,13.7
2020-01-04T04:00,6.7,96,0.00,16.4
2020-01-04T05:00,6.3,96,0.00,18.7
2020-01-04T06:00,5.9,95,0.00,17.4
2020-01-04T07:00,5.4,95,0.00,14.6
2020-01-04T08:00,4.8,94,0.00,18.0
2020-01-04T09:00,4.2,92,0.00,20.3
2020-01-04T10:00,3.8,88,0.00,19.5
2020-01-04T11:00,3.7,86,0.00,20.2
2020-01-04T12:00,3.8,86,0.00,19.3
2020-01-04T13:00,3.8,86,0.20,18.8
2020-01-04T14:00,4.0,85,0.20,22.0
2020-01-04T15:00,3.5,84,0.50,24.0
2020-01-04T16:00,3.4,87,0.40,26.4
2020-01-04T17:00,2.8,89,0.30,26.1
2020-01-04T18:00,1.8,89,0.30,26.9
2020-01-04T19:00,1.3,87,0.20,30.3
2020-01-04T20:00,1.2,84,0.00,30.5
2020-01-04T21:00,1.2,79,0.00,28.5
2020-01-04T22:00,0.8,77,0.00,28.6
2020-01-04T23:00,0.7,75,0.00,29.5
2020-01-05T00:00,0.6,73,0.00,31.5
2020-01-05T01:00,0.3,69,0.00,31.6
2020-01-05T02:00,0.1,66,0.00,30.8
2020-01-05T03:00,-0.1,71,0.00,30.8
2020-01-05T04:00,-0.2,69,0.00,28.5
2020-01-05T05:00,-0.5,69,0.00,26.7
2020-01-05T06:00,-0.7,69,0.00,17.4
2020-01-05T07:00,-0.8,67,0.00,17.7
2020-01-05T08:00,-0.9,65,0.00,18.8
2020-01-05T09:00,-1.0,65,0.00,17.9
2020-01-05T10:00,-0.9,65,0.00,19.6
2020-01-05T11:00,-0.4,64,0.00,20.9
2020-01-05T12:00,0.5,62,0.00,21.1
2020-01-05T13:00,1.6,59,0.00,21.6
2020-01-05T14:00,3.0,57,0.00,21.0
2020-01-05T15:00,4.0,58,0.00,25.3
2020-01-05T16:00,4.8,56,0.00,28.0
2020-01-05T17:00,5.0,54,0.00,29.2
2020-01-05T18:00,4.7,56,0.00,32.5
2020-01-05T19:00,4.4,57,0.00,33.4
2020-01-05T20:00,4.3,57,0.00,35.7
2020-01-05T21:00,4.6,57,0.00,36.7
2020-01-05T22:00,5.1,59,0.00,37.7
2020-01-05T23:00,5.3,62,0.00,38.0
2020-01-06T00:00,5.1,64,0.00,36.9
2020-01-06T01:00,5.0,66,0.00,36.0
2020-01-06T02:00,4.5,68,0.00,34.9
2020-01-06T03:00,3.9,71,0.00,34.7
2020-01-06T04:00,3.0,73,0.00,34.3
2020-01-06T05:00,2.3,74,0.00,34.6
2020-01-06T06:00,1.8,73,0.00,27.1
2020-01-06T07:00,1.3,71,0.00,25.3
2020-01-06T08:00,1.0,69,0.00,22.4
2020-01-06T09:00,0.5,70,0.00,20.2
2020-01-06T10:00,0.4,72,0.00,20.1
2020-01-06T11:00,1.3,65,0.00,21.7
2020-01-06T12:00,2.1,61,0.00,21.3
2020-01-06T13:00,3.1,57,0.00,18.8
2020-01-06T14:00,4.1,52,0.00,17.8
2020-01-06T15:00,5.2,52,0.00,17.5
2020-01-06T16:00,5.6,49,0.00,16.5
2020-01-06T17:00,5.5,49,0.00,16.2
2020-01-06T18:00,4.5,53,0.00,15.0
2020-01-06T19:00,3.0,59,0.00,17.7
2020-01-06T20:00,1.8,64,0.00,19.7
2020-01-06T21:00,1.1,67,0.00,20.2
2020-01-06T22:00,0.3,71,0.00,19.0
2020-01-06T23:00,-0.6,75,0.00,17.1
2020-01-07T00:00,-1.0,75,0.00,14.8
2020-01-07T01:00,-1.2,77,0.00,12.0
2020-01-07T02:00,-0.7,74,0.00,8.1
2020-01-07T03:00,0.1,69,0.00,3.5
2020-01-07T04:00,-1.2,76,0.00,2.6
2020-01-07T05:00,-1.9,80,0.00,6.8
