time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),windspeed_100m (km/h)
2020-01-01T00:00,2.9,61,0.00,19.8
2020-01-01T01:00,2.4,62,0.00,18.3
2020-01-01T02:00,2.2,63,0.00,17.2
2020-01-01T03:00,2.4,64,0.00,15.6
2020-01-01T04:00,2.3,63,0.00,13.8
2020-01-01T05:00,2.2,64,0.00,12.4
2020-01-01T06:00,2.0,63,0.00,1.8
2020-01-01T07:00,1.7,63,0.00,3.7
2020-01-01T08:00,1.5,64,0.00,9.2
2020-01-01T09:00,1.0,66,0.00,13.4
2020-01-01T10:00,1.8,64,0.00,10.8
2020-01-01T11:00,3.1,51,0.00,12.3
2020-01-01T12:00,4.3,46,0.00,14.4
2020-01-01T13:00,5.3,42,0.00,15.9
2020-01-01T14:00,6.1,40,0.00,17.3
2020-01-01T15:00,7.1,38,0.00,18.4
2020-01-01T16:00,7.1,39,0.00,19.8
2020-01-01T17:00,6.5,43,0.00,16.7
2020-01-01T18:00,5.1,51,0.00,13.0
2020-01-01T19:00,3.9,57,0.00,11.9
2020-01-01T20:00,2.9,62,0.00,13.2
2020-01-01T21:00,1.7,65,0.00,15.6
2020-01-01T22:00,0.8,70,0.00,16.9
2020-01-01T23:00,0.2,75,0.00,16.9
2020-01-02T00:00,-0.2,78,0.00,15.5
2020-01-02T01:00,-0.4,80,0.00,17.4
2020-01-02T02:00,-0.7,82,0.00,18.4
2020-01-02T03:00,-0.6,82,0.00,18.0
2020-01-02T04:00,-0.8,83,0.00,16.7
2020-01-02T05:00,-1.1,84,0.00,17.3
2020-01-02T06:00,-1.2,84,0.00,12.4
2020-01-02T07:00,-1.5,85,0.00,9.8
2020-01-02T08:00,-1.5,84,0.00,8.9
2020-01-02T09:00,-1.2,82,0.00,10.5
2020-01-02T10:00,0.6,79,0.00,14.1
2020-01-02T11:00,4.2,61,0.00,14.5
2020-01-02T12:00,7.1,50,0.00,13.2
2020-01-02T13:00,9.2,42,0.00,15.0
2020-01-02T14:00,10.5,39,0.00,15.1
