time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),windspeed_100m (km/h)
2020-01-01T00:00,4.3,71,0.00,32.0
2020-01-01T01:00,3.5,67,0.00,31.7
2020-01-01T02:00,2.9,64,0.00,33.6
2020-01-01T03:00,2.8,79,0.00,34.4
2020-01-01T04:00,2.4,76,0.00,34.7
2020-01-01T05:00,2.0,73,0.00,35.0
2020-01-01T06:00,1.8,70,0.00,32.1
2020-01-01T07:00,1.7,68,0.00,30.3
2020-01-01T08:00,1.5,66,0.00,32.7
2020-01-01T09:00,1.3,65,0.00,33.9
2020-01-01T10:00,1.7,63,0.00,35.5
2020-01-01T11:00,2.3,57,0.00,35.7
2020-01-01T12:00,2.9,53,0.00,38.3
2020-01-01T13:00,3.5,49,0.00,39.6
2020-01-01T14:00,3.8,46,0.00,38.2
2020-01-01T15:00,4.0,45,0.00,37.5
2020-01-01T16:00,4.0,45,0.00,35.5
2020-01-01T17:00,3.8,46,0.00,33.6
2020-01-01T18:00,3.3,49,0.00,30.7
2020-01-01T19:00,2.8,53,0.00,30.5
2020-01-01T20:00,2.4,55,0.00,29.5
2020-01-01T21:00,2.1,57,0.00,29.5
2020-01-01T22:00,1.8,58,0.00,28.9
2020-01-01T23:00,1.5,60,0.00,28.1
2020-01-02T00:00,1.2,61,0.00,26.3
2020-01-02T01:00,1.0,63,0.00,25.7
2020-01-02T02:00,0.8,64,0.00,24.7
2020-01-02T03:00,0.7,67,0.00,24.2
2020-01-02T04:00,0.7,68,0.00,25.0
2020-01-02T05:00,0.7,69,0.00,25.2
2020-01-02T06:00,0.8,70,0.00,24.6
2020-01-02T07:00,0.8,71,0.00,24.2
2020-01-02T08:00,0.8,73,0.00,24.6
2020-01-02T09:00,1.2,74,0.00,24.0
2020-01-02T10:00,2.1,72,0.00,22.3
2020-01-02T11:00,3.5,68,0.00,21.0
2020-01-02T12:00,4.8,65,0.00,21.4
2020-01-02T13:00,6.0,62,0.00,22.9
2020-01-02T14:00,7.0,60,0.00,26.0
2020-01-02T15:00,7.7,62,0.00,27.6
2020-01-02T16:00,7.6,66,0.00,27.4
2020-01-02T17:00,7.2,70,0.00,27.5
2020-01-02T18:00,6.7,74,0.00,24.2
2020-01-02T19:00,6.4,76,0.00,28.8
2020-01-02T20:00,6.0,76,0.00,29.1
2020-01-02T21:00,5.7,77,0.00,29.3
2020-01-02T22:00,5.5,78,0.00,29.6
2020-01-02T23:00,5.4,78,0.00,27.3
2020-01-03T00:00,5.4,79,0.00,25.9
2020-01-03T01:00,5.3,79,0.00,25.9
2020-01-03T02:00,5.5,79,0.00,24.5
2020-01-03T03:00,6.3,75,0.00,21.9
2020-01-03T04:00,6.5,74,0.00,24.0
2020-01-03T05:00,6.5,76,0.00,24.7
