time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),windspeed_100m (km/h)
2020-01-01T00:00,8.4,61,0.00,31.8
2020-01-01T01:00,8.0,62,0.00,31.6
2020-01-01T02:00,7.5,62,0.00,31.8
2020-01-01T03:00,7.8,59,0.00,30.3
2020-01-01T04:00,7.4,59,0.00,29.3
2020-01-01T05:00,6.9,60,0.00,28.2
2020-01-01T06:00,6.5,61,0.00,23.2
2020-01-01T07:00,6.1,62,0.00,20.5
2020-01-01T08:00,5.7,64,0.00,19.8
2020-01-01T09:00,5.6,67,0.00,21.7
2020-01-01T10:00,6.7,64,0.00,20.2
2020-01-01T11:00,7.9,58,0.00,21.3
2020-01-01T12:00,9.0,52,0.00,24.1
2020-01-01T13:00,9.7,49,0.00,24.0
2020-01-01T14:00,10.3,46,0.00,24.3
2020-01-01T15:00,11.5,43,0.00,24.4
2020-01-01T16:00,11.5,42,0.00,24.5
2020-01-01T17:00,11.0,46,0.00,22.5
2020-01-01T18:00,9.6,50,0.00,18.8
2020-01-01T19:00,8.4,56,0.00,20.0
2020-01-01T20:00,7.4,61,0.00,20.9
2020-01-01T21:00,6.5,65,0.00,20.6
2020-01-01T22:00,5.6,69,0.00,20.9
2020-01-01T23:00,5.0,72,0.00,21.7
2020-01-02T00:00,4.8,74,0.00,21.7
2020-01-02T01:00,4.6,76,0.00,20.7
2020-01-02T02:00,4.4,78,0.00,19.6
2020-01-02T03:00,4.3,77,0.00,17.4
2020-01-02T04:00,4.1,79,0.00,17.0
2020-01-02T05:00,3.8,81,0.00,19.7
2020-01-02T06:00,3.6,82,0.00,21.0
2020-01-02T07:00,3.6,83,0.00,19.9
2020-01-02T08:00,3.6,83,0.00,22.5
2020-01-02T09:00,4.2,81,0.00,24.3
2020-01-02T10:00,6.3,76,0.00,23.2
2020-01-02T11:00,9.0,66,0.00,20.7
2020-01-02T12:00,11.2,59,0.00,20.9
2020-01-02T13:00,12.7,53,0.00,24.0
2020-01-02T14:00,13.7,49,0.00,26.0
