time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),windspeed_100m (km/h)
2020-01-01T00:00,6.9,70,0.00,24.9
2020-01-01T01:00,6.4,68,0.00,24.8
2020-01-01T02:00,6.1,63,0.00,25.9
2020-01-01T03:00,6.3,59,0.00,25.7
2020-01-01T04:00,6.0,58,0.00,25.0
2020-01-01T05:00,5.6,60,0.00,23.8
2020-01-01T06:00,5.2,62,0.00,26.3
2020-01-01T07:00,4.7,64,0.00,23.0
2020-01-01T08:00,4.3,67,0.00,24.8
2020-01-01T09:00,4.3,70,0.00,24.5
2020-01-01T10:00,5.9,67,0.00,23.1
2020-01-01T11:00,7.7,60,0.00,18.9
2020-01-01T12:00,9.1,53,0.00,19.7
2020-01-01T13:00,9.9,51,0.00,18.8
2020-01-01T14:00,10.6,50,0.00,17.6
2020-01-01T15:00,11.7,48,0.00,17.0
2020-01-01T16:00,11.6,49,0.00,17.0
2020-01-01T17:00,11.2,52,0.00,14.6
2020-01-01T18:00,10.0,59,0.00,12.5
2020-01-01T19:00,8.5,64,0.00,12.4
2020-01-01T20:00,7.5,67,0.00,13.3
2020-01-01T21:00,6.8,69,0.00,14.6
2020-01-01T22:00,6.2,71,0.00,16.1
2020-01-01T23:00,5.7,74,0.00,18.4
2020-01-02T00:00,5.3,76,0.00,19.1
2020-01-02T01:00,4.7,79,0.00,17.7
2020-01-02T02:00,4.2,81,0.00,20.0
2020-01-02T03:00,4.2,78,0.00,22.7
2020-01-02T04:00,3.9,79,0.00,22.3
2020-01-02T05:00,4.0,79,0.00,22.4
2020-01-02T06:00,4.4,77,0.00,20.7
2020-01-02T07:00,4.4,78,0.00,20.0
2020-01-02T08:00,4.1,80,0.00,20.0
2020-01-02T09:00,4.0,83,0.00,20.7
2020-01-02T10:00,6.2,76,0.00,19.0
2020-01-02T11:00,8.7,66,0.00,15.7
2020-01-02T12:00,10.7,57,0.00,15.3
2020-01-02T13:00,12.0,51,0.00,17.5
2020-01-02T14:00,11.9,53,0.00,20.1
2020-01-02T15:00,13.3,46,0.00,22.7
2020-01-02T16:00,12.5,51,0.00,22.4
2020-01-02T17:00,11.3,55,0.10,24.6
2020-01-02T18:00,9.7,68,0.50,20.9
2020-01-02T19:00,8.5,81,0.30,21.1
2020-01-02T20:00,8.2,83,0.00,19.1
2020-01-02T21:00,8.2,82,0.00,19.0
2020-01-02T22:00,8.4,81,0.00,18.2
2020-01-02T23:00,8.6,79,0.00,19.5
2020-01-03T00:00,8.8,77,0.00,19.7
2020-01-03T01:00,9.0,74,0.00,17.4
2020-01-03T02:00,9.4,69,0.00,15.7
2020-01-03T03:00,8.1,91,0.90,10.3
2020-01-03T04:00,8.1,94,0.00,10.1
2020-01-03T05:00,8.3,92,0.00,16.6
2020-01-03T06:00,8.7,92,0.10,15.9
2020-01-03T07:00,9.4,94,0.00,18.7
2020-01-03T08:00,10.3,95,0.00,21.1
2020-01-03T09:00,11.6,96,0.00,24.2
2020-01-03T10:00,13.4,96,0.00,26.5
2020-01-03T11:00,15.5,96,0.00,23.3
2020-01-03T12:00,17.1,96,0.00,18.9
