,date,county,state,total_cases,new_cases,future_delta7,future_delta14
0,2020-03-11,baltimore,maryland,1,1,6,50
1,2020-03-12,baltimore,maryland,1,0,12,80
2,2020-03-13,baltimore,maryland,2,1,11,101
3,2020-03-14,baltimore,maryland,3,1,16,138
4,2020-03-15,baltimore,maryland,3,0,25,159
5,2020-03-16,baltimore,maryland,4,1,31,182
6,2020-03-17,baltimore,maryland,4,0,38,223
7,2020-03-18,baltimore,maryland,7,3,44,282
8,2020-03-19,baltimore,maryland,13,6,68,340
9,2020-03-20,baltimore,maryland,13,0,90,414
10,2020-03-21,baltimore,maryland,19,6,122,472
11,2020-03-22,baltimore,maryland,28,9,134,562
12,2020-03-23,baltimore,maryland,35,7,151,613
13,2020-03-24,baltimore,maryland,42,7,185,610
14,2020-03-25,baltimore,maryland,51,9,238,815
15,2020-03-26,baltimore,maryland,81,30,272,898
16,2020-03-27,baltimore,maryland,103,22,324,969
17,2020-03-28,baltimore,maryland,141,38,350,1032
18,2020-03-29,baltimore,maryland,162,21,428,1095
19,2020-03-30,baltimore,maryland,186,24,462,1175
20,2020-03-31,baltimore,maryland,227,41,425,1150
21,2020-04-01,baltimore,maryland,289,62,577,1201
22,2020-04-02,baltimore,maryland,353,64,626,1169
23,2020-04-03,baltimore,maryland,427,74,645,1149
24,2020-04-04,baltimore,maryland,491,64,682,1180
25,2020-04-05,baltimore,maryland,590,99,667,1149
26,2020-04-06,baltimore,maryland,648,58,713,1233
27,2020-04-07,baltimore,maryland,652,4,725,1280
28,2020-04-08,baltimore,maryland,866,214,624,1155
29,2020-04-09,baltimore,maryland,979,113,543,1162
30,2020-04-10,baltimore,maryland,1072,93,504,1171
31,2020-04-11,baltimore,maryland,1173,101,498,1224
32,2020-04-12,baltimore,maryland,1257,84,482,1262
33,2020-04-13,baltimore,maryland,1361,104,520,1198
34,2020-04-14,baltimore,maryland,1377,16,555,1267
35,2020-04-15,baltimore,maryland,1490,113,531,1264
36,2020-04-16,baltimore,maryland,1522,32,619,1322
37,2020-04-17,baltimore,maryland,1576,54,667,1450
38,2020-04-18,baltimore,maryland,1671,95,726,1526
39,2020-04-19,baltimore,maryland,1739,68,780,1576
40,2020-04-20,baltimore,maryland,1881,142,678,1582
41,2020-04-21,baltimore,maryland,1932,51,712,1513
42,2020-04-22,baltimore,maryland,2021,89,733,1520
43,2020-04-23,baltimore,maryland,2141,120,703,1535
44,2020-04-24,baltimore,maryland,2243,102,783,1535
45,2020-04-25,baltimore,maryland,2397,154,800,1356
46,2020-04-26,baltimore,maryland,2519,122,796,1359
47,2020-04-27,baltimore,maryland,2559,40,904,1405
48,2020-04-28,baltimore,maryland,2644,85,801,1423
49,2020-04-29,baltimore,maryland,2754,110,787,1421
50,2020-04-30,baltimore,maryland,2844,90,832,1462
51,2020-05-01,baltimore,maryland,3026,182,752,1390
