,date,county,state,fips,cases,deaths,new_cases,new_deaths,case_delta_7,death_delta_7,case_delta_14,death_delta_14
0,2020-03-01,New York City,New York,,1,0.0,,,,,,
1,2020-03-02,New York City,New York,,1,0.0,0.0,0.0,,,,
2,2020-03-03,New York City,New York,,2,0.0,1.0,0.0,,,,
3,2020-03-04,New York City,New York,,2,0.0,0.0,0.0,,,,
4,2020-03-05,New York City,New York,,4,0.0,2.0,0.0,,,,
5,2020-03-06,New York City,New York,,5,0.0,1.0,0.0,,,,
6,2020-03-07,New York City,New York,,12,0.0,7.0,0.0,,,,
7,2020-03-08,New York City,New York,,14,0.0,2.0,0.0,13.0,0.0,,
8,2020-03-09,New York City,New York,,20,0.0,6.0,0.0,19.0,0.0,,
9,2020-03-10,New York City,New York,,37,0.0,17.0,0.0,35.0,0.0,,
10,2020-03-11,New York City,New York,,52,0.0,15.0,0.0,50.0,0.0,,
11,2020-03-12,New York City,New York,,96,0.0,44.0,0.0,92.0,0.0,,
12,2020-03-13,New York City,New York,,155,0.0,59.0,0.0,150.0,0.0,,
13,2020-03-14,New York City,New York,,269,1.0,114.0,1.0,257.0,1.0,,
14,2020-03-15,New York City,New York,,330,5.0,61.0,4.0,316.0,5.0,329.0,5.0
15,2020-03-16,New York City,New York,,464,7.0,134.0,2.0,444.0,7.0,463.0,7.0
16,2020-03-17,New York City,New York,,646,11.0,182.0,4.0,609.0,11.0,644.0,11.0
17,2020-03-18,New York City,New York,,1344,25.0,698.0,14.0,1292.0,25.0,1342.0,25.0
18,2020-03-19,New York City,New York,,2477,31.0,1133.0,6.0,2381.0,31.0,2473.0,31.0
19,2020-03-20,New York City,New York,,4419,54.0,1942.0,23.0,4264.0,54.0,4414.0,54.0
20,2020-03-21,New York City,New York,,6226,75.0,1807.0,21.0,5957.0,74.0,6214.0,75.0
21,2020-03-22,New York City,New York,,9065,119.0,2839.0,44.0,8735.0,114.0,9051.0,119.0
22,2020-03-23,New York City,New York,,12329,155.0,3264.0,36.0,11865.0,148.0,12309.0,155.0
23,2020-03-24,New York City,New York,,14943,230.0,2614.0,75.0,14297.0,219.0,14906.0,230.0
24,2020-03-25,New York City,New York,,20061,330.0,5118.0,100.0,18717.0,305.0,20009.0,330.0
