,date,county,state,total_cases,new_cases,future_delta7,future_delta14
0,2020-03-07,fairfax,virginia,1,1,9,21
1,2020-03-08,fairfax,virginia,2,1,8,29
2,2020-03-09,fairfax,virginia,4,2,6,39
3,2020-03-10,fairfax,virginia,4,0,8,42
4,2020-03-11,fairfax,virginia,4,0,10,72
5,2020-03-12,fairfax,virginia,4,0,12,120
6,2020-03-13,fairfax,virginia,6,2,10,118
7,2020-03-14,fairfax,virginia,10,4,12,146
8,2020-03-15,fairfax,virginia,10,0,21,177
9,2020-03-16,fairfax,virginia,10,0,33,215
10,2020-03-17,fairfax,virginia,12,2,34,232
11,2020-03-18,fairfax,virginia,14,2,62,274
12,2020-03-19,fairfax,virginia,16,2,108,312
13,2020-03-20,fairfax,virginia,16,0,108,356
14,2020-03-21,fairfax,virginia,22,6,134,365
15,2020-03-22,fairfax,virginia,31,9,156,395
16,2020-03-23,fairfax,virginia,43,12,182,445
17,2020-03-24,fairfax,virginia,46,3,198,486
18,2020-03-25,fairfax,virginia,76,30,212,494
19,2020-03-26,fairfax,virginia,124,48,204,566
20,2020-03-27,fairfax,virginia,124,0,248,653
21,2020-03-28,fairfax,virginia,156,32,231,790
22,2020-03-29,fairfax,virginia,187,31,239,821
23,2020-03-30,fairfax,virginia,225,38,263,939
24,2020-03-31,fairfax,virginia,244,19,288,963
25,2020-04-01,fairfax,virginia,288,44,282,1010
26,2020-04-02,fairfax,virginia,328,40,362,1047
27,2020-04-03,fairfax,virginia,372,44,405,1104
28,2020-04-04,fairfax,virginia,387,15,559,1246
29,2020-04-05,fairfax,virginia,426,39,582,1383
30,2020-04-06,fairfax,virginia,488,62,676,1437
31,2020-04-07,fairfax,virginia,532,44,675,1545
32,2020-04-08,fairfax,virginia,570,38,728,1686
33,2020-04-09,fairfax,virginia,690,120,685,1672
34,2020-04-10,fairfax,virginia,777,87,699,1757
35,2020-04-11,fairfax,virginia,946,169,687,1799
36,2020-04-12,fairfax,virginia,1008,62,801,1881
37,2020-04-13,fairfax,virginia,1164,156,761,1838
38,2020-04-14,fairfax,virginia,1207,43,870,2071
39,2020-04-15,fairfax,virginia,1298,91,958,2150
40,2020-04-16,fairfax,virginia,1375,77,987,2236
41,2020-04-17,fairfax,virginia,1476,101,1058,2421
42,2020-04-18,fairfax,virginia,1633,157,1112,2413
43,2020-04-19,fairfax,virginia,1809,176,1080,2531
44,2020-04-20,fairfax,virginia,1925,116,1077,2690
45,2020-04-21,fairfax,virginia,2077,152,1201,2757
46,2020-04-22,fairfax,virginia,2256,179,1192,2578
47,2020-04-23,fairfax,virginia,2362,106,1249,2683
48,2020-04-24,fairfax,virginia,2534,172,1363,2804
49,2020-04-25,fairfax,virginia,2745,211,1301,2865
50,2020-04-26,fairfax,virginia,2889,144,1451,3003
51,2020-04-27,fairfax,virginia,3002,113,1613,3198
52,2020-04-28,fairfax,virginia,3278,276,1556,3192
53,2020-04-29,fairfax,virginia,3448,170,1386,3218
54,2020-04-30,fairfax,virginia,3611,163,1434,3340
55,2020-05-01,fairfax,virginia,3897,286,1441,3262
56,2020-05-02,fairfax,virginia,4046,149,1564,3340
57,2020-05-03,fairfax,virginia,4340,294,1552,3303
58,2020-05-04,fairfax,virginia,4615,275,1585,3228
59,2020-05-05,fairfax,virginia,4834,219,1636,3186
60,2020-05-06,fairfax,virginia,4834,0,1832,3329
61,2020-05-07,fairfax,virginia,5045,211,1906,3535
62,2020-05-08,fairfax,virginia,5338,293,1821,3396
63,2020-05-09,fairfax,virginia,5610,272,1776,3335
64,2020-05-10,fairfax,virginia,5892,282,1751,3097
65,2020-05-11,fairfax,virginia,6200,308,1643,3282
